Country,PM2.5 concentration 2022 (in µg/m³),National Standard (in µg/m³),Life Expectancy Gains (in years) from reducing PM2.5 from 2022 Concentrations to the WHO Guideline of 5 µg/m³,Life Expectancy Gains (in years) from reducing PM2.5 from 2022 Concentrations to the National Standard
Algeria,6.1,*,0.1,*
Angola,21.1,*,1.6,*
Benin,17.3,*,1.2,*
Botswana,12.5,*,0.7,*
Bouvet Island,*,5,*,*
British Indian Ocean Territory,*,*,*,*
Burkina Faso,8.7,*,0.4,*
Burundi,34,*,2.8,*
Cabo Verde,2.2,*,0,*
Cameroon,32.6,*,2.7,*
Central African Republic,25,*,2,*
Chad,11.3,*,0.6,*
Comoros,7,*,0.2,*
Côte d'Ivoire,10.4,*,0.5,*
Democratic Republic of the Congo,34.7,*,2.9,*
Djibouti,18.4,*,1.3,*
Egypt,19.2,50,1.4,*
Equatorial Guinea,32.9,*,2.7,*
Eritrea,14.4,*,0.9,*
Ethiopia,16.9,*,1.2,*
French Southern Territories,*,*,*,*
Gabon,25.7,*,2,*
Gambia,6.9,*,0.2,*
Ghana,13.7,*,0.9,*
Guinea,9.8,*,0.5,*
Guinea-Bissau,7.9,*,0.3,*
Kenya,16.5,35,1.1,*
Lesotho,27.9,*,2.2,*
Liberia,9.4,*,0.4,*
Libya,8.9,*,0.4,*
Madagascar,9.7,*,0.5,*
Malawi,17.6,*,1.2,*
Mali,6.6,*,0.2,*
Mauritania,3.5,*,0,*
Mauritius,5.7,*,0.1,*
Mayotte,8.1,*,0.3,*
Morocco,7.1,*,0.2,*
Mozambique,12.7,*,0.8,*
Namibia,14.5,*,0.9,*
Niger,10.6,*,0.5,*
Nigeria,25,20,2,0.49
Republic of the Congo,31.9,*,2.6,*
Rwanda,33.4,35,2.8,*
Réunion,2.7,*,0,*
"Saint Helena, Ascension and Tris",2.7,*,0,*
Senegal,5.7,*,0.1,*
Seychelles,5,*,0,*
Sierra Leone,9.9,*,0.5,*
Somalia,8.9,*,0.4,*
South Africa,23.3,20,1.8,0.3234
South Sudan,16,*,1.1,*
Sudan,10.2,10,0.5,0.0195999999999999
Swaziland,16.4,*,1.1,*
São Tomé and Príncipe,10.3,*,0.5,*
Tanzania,18.2,*,1.3,*
Togo,15.6,*,1,*
Tunisia,10.2,*,0.5,*
Uganda,27.8,25,2.2,0.2744
Western Sahara,4.9,*,0,*
Zambia,22.2,*,1.7,*
Zimbabwe,16,*,1.1,*
Afghanistan,17,35,1.2,*
Bahrain,22.8,25,1.7,*
Bangladesh,54.2,35,4.8,1.8816
Bhutan,22.8,*,1.7,*
Brunei,6.3,*,0.1,*
Cambodia,16.9,25,1.2,*
China,28.2,35,2.3,*
India,41.4,40,3.6,0.1372
Indonesia,18.3,15,1.3,0.3234
Iran,18.8,12,1.4,0.6664
Iraq,32.4,10,2.7,2.1952
Israel,14.3,25,0.9,*
Japan,11.3,15,0.6,*
Jordan,19.7,15,1.4,0.4606
Kuwait,21.7,*,1.6,*
Kyrgyzstan,12.1,*,0.7,*
Laos,23.5,*,1.8,*
Lebanon,18.6,*,1.3,*
Malaysia,13.3,15,0.8,*
Maldives,8.2,*,0.3,*
Mongolia,30.1,25,2.5,0.4998
Myanmar,28.6,*,2.3,*
Nepal,39.2,*,3.4,*
North Korea,18.6,*,1.3,*
Oman,13.4,*,0.8,*
Pakistan,38.9,15,3.3,2.3422
Palestine,14,*,0.9,*
Paracel Islands,4,*,0,*
Philippines,19.2,25,1.4,*
Qatar,39.1,*,3.3,*
Saudi Arabia,27.5,15,2.2,1.225
Singapore,13.9,10,0.9,0.3822
South Korea,20.8,15,1.5,0.5684
Spratly Islands,0,*,0,*
