Local Government Area,Population (Millions),Annual Average 2022 PM2.5 Concentration (µg/m³),Life Expectancy Gains from reducing PM2.5 from 2022 concentration to WHO PM2.5 guideline of 5 µg/m,Life Expectancy Gains from reducing PM2.5 from 2022 concentration by 30 percent
Kinshasa,12.3,38.7,3.3,1.1
Djugu,1.9,27.9,2.2,0.8
Masisi,1.8,34.6,2.9,1
Mbuji-Mayi,1.7,35.5,3,1
Idiofa,1.6,44,3.8,1.3
Rutshuru,1.6,36.2,3.1,1.1
Kamonia,1.6,42.9,3.7,1.3
Lubero,1.6,30.2,2.5,0.9
Oicha,1.5,32.4,2.7,1
Lubumbashi,1.5,28.5,2.3,0.8
Masi-Manimba,1.5,44,3.8,1.3
Walungu,1.3,32.9,2.7,1
Bulungu,1.3,44.7,3.9,1.3
Mahagi,1.2,24.2,1.9,0.7
Kikwit,1.2,45.2,3.9,1.3
Kabare,1.2,33.3,2.8,1
Aru,1.2,22.4,1.7,0.7
Gemena,1.1,31.1,2.6,0.9
Mbanza-Ngungu,1.1,31.4,2.6,0.9
Kisangani,1.1,31.1,2.6,0.9
Kananga,1.1,38.3,3.3,1.1
Gungu,1,41,3.5,1.2
Butembo,1,31.3,2.6,0.9
Uvira,1,37.9,3.2,1.1
Kasongo-Lunda,1,38,3.2,1.1
