Municipality,Population (Millions),Annual Average 2022 PM2.5 Concentration (µg/m³),Life Expectancy Gains from reducing PM2.5 from 2022 concentration to WHO PM2.5 guideline of 5 µg/m³,Life Expectancy Gains from reducing PM2.5 from 2022 concentration to National PM2.5 standard of 20 µg/m³,Life Expectancy Gains from reducing PM2.5 from 2022 concentration by 30 percent
Bogotá D.C.,8.074,19.6,1.4,-0,0.6
Medellín,2.484,18.6,1.3,0,0.5
Santiago de Cali,2.406,14.8,1,0,0.4
Barranquilla,1.21,9.1,0.4,0,0.3
Cartagena de Indias,1.008,11.1,0.6,0,0.3
Soledad,0.67,10.2,0.5,0,0.3
San José de Cúcuta,0.651,20,1.5,0,0.6
Ibagué,0.559,15.6,1,0,0.5
Soacha,0.552,22.7,1.7,0.3,0.7
Villavicencio,0.519,16.8,1.2,0,0.5
Bucaramanga,0.505,19.6,1.4,-0,0.6
Santa Marta,0.504,7.5,0.2,0,0.2
Valledupar,0.485,11.4,0.6,0,0.3
Bello,0.483,17.5,1.2,0,0.5
Pereira,0.467,13.9,0.9,0,0.4
Montería,0.455,15.5,1,0,0.5
San Juan de Pasto,0.448,13.9,0.9,0,0.4
Buenaventura,0.417,11.4,0.6,0,0.3
Manizales,0.388,17.4,1.2,0,0.5
Neiva,0.337,17.7,1.2,0,0.5
Palmira,0.302,15.4,1,0,0.5
Armenia,0.297,14.3,0.9,0,0.4
Riohacha,0.286,6.6,0.2,0,0.2
Sincelejo,0.282,12.8,0.8,0,0.4
Popayán,0.278,14,0.9,0,0.4
