state_ut,city,district
Uttar Pradesh,Agra,Agra
Gujarat,Ahmedabad,Ahmadabad
Maharashtra,Akola,Akola
Uttar Pradesh,Allahabad,Prayagraj
Rajasthan,Alwar,Alwar
Maharashtra,Amravati,Amravati
Punjab,Amritsar,Amritsar
Andhra Pradesh,Anantapur,Anantapur
Odisha,Angul,Anugul
Uttar Pradesh,Anpara,Sonbhadra
West Bengal,Asansol & Raniganj,Barddhaman
Maharashtra,Aurangabad,Aurangabad
Himachal Pradesh,Baddi,Solan
Maharashtra,Badlapur,Thane
Odisha,Balasore,Baleshwar
Uttar Pradesh,Bareily,Bareilly
West Bengal,Barrackpore,North 24 Parganas
Karnataka,Bengaluru,Bangalore
Chhattisgarh,Bhilai,Durg
Madhya Pradesh,Bhopal,Bhopal
Odisha,Bhubneshwar,Khordha
Meghalaya,Byrnihat,Ri Bhoi
Chandigarh,Chandigarh,Chandigarh
Maharashtra,Chandrapur,Chandrapur
Tamil Nadu,Chennai*,Chennai
Andhra Pradesh,Chitoor,Chittoor
Odisha,Cuttack,Cuttack
Himachal Pradesh,Damtal,Kangra
Uttarakhand,Dehradun,Dehradun
Punjab,Dera Bassi,Sahibzada Ajit Singh Nagar
Karnataka,Devanagere,Davanagere
Madhya Pradesh,Dewas,Dewas
Jharkhand,Dhanbad,Dhanbad
Nagaland,Dimapur,Dimapur
West Bengal,Durgapur,Barddhaman
Andhra Pradesh,Eluru,West Godavari
Haryana,Faridabad*,Faridabad
Uttar Pradesh,Firozabad,Firozabad
Uttar Pradesh,Gajraula,Amroha
Bihar,Gaya,Gaya
Uttar Pradesh,Ghaziabad,Ghaziabad
Punjab,Gobindgarh,Fatehgarh Sahib
Uttar Pradesh,Gorakhpur,Gorakhpur
Karnataka,Gulburga,Kalaburagi
Andhra Pradesh,Guntur,Guntur
Assam,Guwahati,Kamrup Metropolitan
Madhya Pradesh,Gwalior,Gwalior
West Bengal,Haldia,Purba Medinipur
West Bengal,Howrah,Howrah
Karnataka,Hubli-Dharwad,Dharwad
Telangana,Hyderabad,Hyderabad
Madhya Pradesh,Indore,Indore
Madhya Pradesh,Jabalpur*,Jabalpur
Rajasthan,Jaipur,Jaipur
Punjab,Jalandhar,Jalandhar
Maharashtra,Jalgaon,Jalgaon
Maharashtra,Jalna,Jalna
Jammu & Kashmir,Jammu,Jammu
Jharkhand,Jamshedpur*,Purbi Singhbhum
Uttar Pradesh,Jhansi,Jhansi
Rajasthan,Jodhpur,Jodhpur
Andhra Pradesh,Kadapa,Y.S.R.
Himachal Pradesh,Kala Amb,Sirmaur
Odisha,Kalinga Nagar,Jajapur
Uttar Pradesh,Kanpur,Kanpur Nagar
Uttarakhand,Kashipur,Udham Singh Nagar
Punjab,Khanna,Ludhiana
Uttar Pradesh,Khurja,Bulandshahr
Nagaland,Kohima,Kohima
Maharashtra,Kolhapur,Kolhapur
West Bengal,Kolkata,Kolkata
Chhattisgarh,Korba,Korba
Rajasthan,Kota,Kota
Andhra Pradesh,Kurnool,Kurnool
Maharashtra,Latur,Latur
Uttar Pradesh,Lucknow,Lucknow
Punjab,Ludhiana,Ludhiana
Tamil Nadu,Madurai,Madurai
Uttar Pradesh,Meerut*,Meerut
Uttar Pradesh,Moradabad,Moradabad
Maharashtra,Mumbai,Mumbai City
Bihar,Muzaffarpur,Muzaffarpur
Assam,Nagaon,Nagaon
Maharashtra,Nagpur,Nagpur
Himachal Pradesh,Nalagarh,Solan
Assam,Nalbari,Nalbari
Telangana,Nalgonda,Nalgonda
Maharashtra,Nashik,Nashik
Maharashtra,Navi Mumbai,Raigad
Punjab,Naya Nangal,Rupnagar
NCT of Delhi,Delhi,NCT of Delhi
Andhra Pradesh,Nellore,Nellore
Uttar Pradesh,Noida,Gautam Buddha Nagar
Andhra Pradesh,Ongole,Prakasam
Himachal Pradesh,Paonta Sahib,Sirmaur
Himachal Pradesh,Parwanoo,Solan
Telangana,Patencheru,Medak
Punjab,Pathankot/Dera Baba,Pathankot
Punjab,Patiala,Patiala
Bihar,Patna,Patna
Maharashtra,Pune,Pune
Uttar Pradesh,Raebareli,Rae Bareli
Chhattisgarh,Raipur,Raipur
Andhra Pradesh,Rajahmundry,East Godavari
Gujarat,Rajkot*,Rajkot
Jharkhand,Ranchi*,Ranchi
Uttarakhand,Rishikesh,Dehradun
Odisha,Rourkela,Sundargarh
Madhya Pradesh,Sagar,Sagar
Telangana,Sangareddy,Sangareddy
Maharashtra,Sangli,Sangli
Assam,Sibsagar,Sivasagar
Assam,Silchar,Cachar
Maharashtra,Solapur,Solapur
Andhra Pradesh,Srikakulam,Srikakulam
Jammu & Kashmir,Srinagar,Srinagar
Himachal Pradesh,Sunder Nagar,Mandi
Gujarat,Surat,Surat
Odisha,Talcher,Anugul
Maharashtra,Thane,Thane
Tamil Nadu,Trichy,Tiruchirappalli
Tamil Nadu,Tuticorin,Thoothukudi
Rajasthan,Udaipur,Udaipur
Madhya Pradesh,Ujjain,Ujjain
Maharashtra,Ulhasnagar,Thane
Gujarat,Vadodara,Vadodara
Uttar Pradesh,Varanasi,Varanasi
Maharashtra,Vasai-Virar*,Palghar
Andhra Pradesh,Vijayawada,Krishna
Andhra Pradesh,Vishakhapatnam,Visakhapatnam
Andhra Pradesh,Vizianagaram,Vizianagaram
