Country,Annual average PM2.5 concentration (in µg/m³),Life Expectancy Gains from reducing PM2.5 from 2023 Concentrations to the WHO Guideline of 5 µg/m³ in the given country,Percent of population above WHO guideline,Region with highest PM2.5 concentration in 2023,Annual average PM2.5 concentration in most polluted region,Life Expectancy Gains from reducing PM2.5 from 2023 Concentrations to the WHO Guideline of 5 µg/m³ in the most polluted region
Albania,10.7,0.5586,100,Kukësit,14.7,0.9
Andorra,7.1,0.2058,100,NA,7.5,0.2
Armenia,20.4,1.5092,100,NA,25.1,2
Austria,8.7,0.3626,100,Innsbruck Stadt,10.9,0.6
Azerbaijan,12.5,0.735,100,Sədərək,20.7,1.5
Belarus,9.5,0.441,100,Brest,10.4,0.5
Belgium,7.6,0.2548,100,West-Vlaanderen,8.4,0.3
Bosnia and Herzegovina,21.3,1.5974,100,Zenica-Doboj,27,2.2
Bulgaria,14.6,0.9408,100,Dimitrovgrad,21.8,1.6
Croatia,12.3,0.7154,100,Gunja,22,1.7
Cyprus,12.5,0.735,100,NA,12.9,0.8
Czechia,10.1,0.4998,100,Karviná,15.7,1
Denmark,6.8,0.1764,100,Sønderborg,7.4,0.2
Estonia,5.5,0.049,46.5,Mõniste,9,0.4
Finland,4.3,0,0,Päijänne Tavastia,4.7,0
France,7.1,0.2058,100,Paris,10.2,0.5
Georgia,13.6,0.8428,100,Marneuli,15.7,1
Germany,7.4,0.2352,100,Berlin,9.4,0.4
Greece,11.1,0.5978,100,East Macedonia and Thrace,13.6,0.8
Hungary,10.3,0.5194,100,Siklósi,12.4,0.7
Iceland,3.3,0,0,Eyjafjarðarsveit,4,0
Ireland,5,0,48.7,Dundalk,5.7,0.1
Italy,11.6,0.6468,100,Milano,19.3,1.4
Kazakhstan,11.6,0.6468,100,Saryagashskiy,23.5,1.8
Kosovo,14.8,0.9604,100,Štrpce,16.4,1.1
Latvia,11.5,0.637,100,Riga,13.7,0.8
Liechtenstein,9.3,0.4214,100,NA,9.4,0.4
Lithuania,8.3,0.3234,100,Joniškio,10.7,0.6
Luxembourg,6.7,0.1666,100,Luxembourg,7.2,0.2
Macedonia,16.5,1.127,100,NA,19.6,1.4
Malta,6.7,0.1666,100,Xgħajra,7.6,0.3
Moldova,9.8,0.4704,100,NA,11.3,0.6
Monaco,8.5,0.343,100,NA,8.5,0.3
Montenegro,13.2,0.8036,100,NA,18.6,1.3
Netherlands,7.6,0.2548,100,Duiven,8.7,0.4
Northern Cyprus,12.2,0.7056,100,NA,12.6,0.8
Norway,5.2,0.0196,60.5,Modum,6.7,0.2
Poland,12.9,0.7742,100,Oświęcim,20,1.5
Portugal,5.7,0.0686,56.7,Murtosa,9,0.4
Romania,11.9,0.6762,100,Balesti,16.2,1.1
Russia,9.3,0.4214,98.1,Oktyabr'skiy,21.6,1.6
San Marino,10.8,0.5684,100,NA,11.4,0.6
Serbia,14.7,0.9506,100,Mali Zvornik,21.9,1.6
Slovakia,11.2,0.6076,100,Námestovo,14.8,1
Slovenia,10.8,0.5684,100,Dol pri Ljubljani,12.7,0.8
Spain,6.8,0.1764,90.5,Barcelona,10.7,0.6
Sweden,4.7,0,38.2,Malmö,6.3,0.1
Switzerland,7.3,0.2254,100,Mendrisio,12,0.7
Turkey,20,1.47,100,Akköy,35.4,3
Ukraine,10.2,0.5096,100,n.a. ( 511),15.2,1
United Kingdom,7.3,0.2254,99,Caerphilly,11.5,0.6
Vatican City,10,0.49,100,NA,10,0.5
