"","District","Population (Millions)","Annual Average 2023 PM2.5 Concentration (µg/m³)","Life Expectancy Gains from reducing PM2.5 from 2023 concentration to WHO PM2.5 guideline of 5 µg/m","Life Expectancy Gains from reducing PM2.5 from 2023 concentration by 30 percent"
"1","Kathmandu",2,31.8,2.6,0.9
"2","Morang",1.1,50.2,4.4,1.5
"3","Rupandehi",1,48.8,4.3,1.4
"4","Jhapa",1,46.5,4.1,1.4
"5","Sarlahi",0.9,56.6,5.1,1.7
"6","Kailali",0.9,34.1,2.9,1
"7","Dhanusha",0.9,58.6,5.3,1.7
"8","Sunsari",0.9,50.4,4.4,1.5
"9","Bara",0.8,58.9,5.3,1.7
"10","Rautahat",0.8,59.5,5.3,1.7
"11","Siraha",0.8,56.2,5,1.7
"12","Saptari",0.8,54.3,4.8,1.6
"13","Mahottari",0.7,59.2,5.3,1.7
"14","Parsa",0.7,58.7,5.3,1.7
"15","Chitawan",0.7,42.8,3.7,1.3
"16","Kapilbastu",0.7,44.3,3.9,1.3
"17","Dang",0.6,25.8,2,0.8
"18","Banke",0.6,35.8,3,1.1
"19","Kaski",0.6,29,2.4,0.9
"20","Kanchanpur",0.5,32.7,2.7,1
"21","Lalitpur",0.5,29.3,2.4,0.9
"22","Bardiya",0.5,35.5,3,1
"23","Makawanpur",0.5,34.1,2.9,1
"24","Kabhrepalanchok",0.4,29.2,2.4,0.9
"25","Surkhet",0.4,21.8,1.6,0.6
