"","Region","Population (millions)","Annual Average 2023 PM2.5 Concentration (µg/m³)","Life Expectancy Gains from reducing PM2.5 from 2023 concentration to WHO PM2.5 guideline of 5 µg/m","Life Expectancy Gains from reducing PM2.5 from 2023 concentration to National PM2.5 guideline of 15 µg/m³","Life Expectancy Gains from reducing PM2.5 from 2023 concentration by 30 percent"
"1","Lahore",9.7,64,5.8,4.8,1.9
"2","Faisalabad",7.4,38.6,3.3,2.3,1.1
"3","East Karachi",6.1,33.6,2.8,1.8,1
"4","Rawalpindi",6.1,47.4,4.2,3.2,1.4
"5","Multan",6,44.8,3.9,2.9,1.3
"6","West Karachi",5.7,31.6,2.6,1.6,0.9
"7","South Karachi",5.6,31.8,2.6,1.6,0.9
"8","Bahawalpur",5.5,39.9,3.4,2.4,1.2
"9","Rahim Yar Khan",5.2,39.7,3.4,2.4,1.2
"10","Muzaffargarh",5,42.3,3.7,2.7,1.2
"11","Peshawar",5,60.2,5.4,4.4,1.8
"12","Gujranwala",4.7,47,4.1,3.1,1.4
"13","Malir Karachi",4.5,31.9,2.6,1.7,0.9
"14","Central Karachi",4.5,31.7,2.6,1.6,0.9
"15","Sargodha",4.5,38.5,3.3,2.3,1.1
"16","Bahawalnagar",4.1,43.7,3.8,2.8,1.3
"17","Sialkot",3.7,44.1,3.8,2.9,1.3
"18","Jhang",3.6,38.2,3.3,2.3,1.1
"19","Gujrat",3.6,35.7,3,2,1
"20","Bhakkar",3.4,37.3,3.2,2.2,1.1
"21","Kasur",3.4,51.9,4.6,3.6,1.5
"22","Khanewal",3.4,40.7,3.5,2.5,1.2
"23","Vehari",3.4,43,3.7,2.7,1.3
"24","Attock",3.1,41.6,3.6,2.6,1.2
"25","Sheikhupura",3.1,51.3,4.5,3.6,1.5
