State/Province,District,population,Annual average PM2.5 concentration in 2023 (in µg/m³),Potential gain in life expectancy from reducing PM2.5 concentrations from 2023 levels to WHO PM2.5 guideline of 5 µg/m³,Potential gain in life expectancy from reducing PM2.5 concentrations from 2023 levels to Indonesia's national standard of 15 µg/m³
Chiang Rai,Phan,126305,43.2,3.7,2.8
Chiang Rai,Wiang Chai,44298,43,3.7,2.7
Chiang Rai,Khun Tan,32541,42.6,3.7,2.7
Chiang Rai,Pa Daet,24870,42.5,3.7,2.7
Chiang Rai,Muang Chiang Rai,206291,42.4,3.7,2.7
Chiang Rai,Mae Sai,77343,42.3,3.7,2.7
Chiang Rai,Mae Lao,24178,42,3.6,2.6
Chiang Rai,Phaya Mengrai,41555,41.7,3.6,2.6
Phayao,Mae Chai,31346,41.6,3.6,2.6
Chiang Rai,Thoeng,79750,41.5,3.6,2.6
Chiang Rai,Chiang Saen,45897,41.4,3.6,2.6
Chiang Rai,Chiang Khong,63549,41.3,3.6,2.6
Phayao,Chun,43772,41.3,3.6,2.6
Chiang Rai,Mae Chan,118847,41.1,3.5,2.6
Phayao,K. Phu Kam Yao,17552,41,3.5,2.5
Phayao,Chiang Kham,69738,40.7,3.5,2.5
Phayao,K. Phu Sang,26127,40.6,3.5,2.5
Chiang Rai,K. Wieng Chiang,26579,40.4,3.5,2.5
Chiang Rai,Wieng Kaen,29898,40.2,3.4,2.5
Chiang Rai,K. Doi Luang,21631,39.8,3.4,2.4
Nan,Chiang Klang,26911,39.5,3.4,2.4
Phayao,Dok Kham Tai,63434,39.4,3.4,2.4
Nan,Thung Chang,15456,39.4,3.4,2.4
Phayao,Muang Phayao,104958,38.9,3.3,2.3
Nan,Song Kwae,10213,38.7,3.3,2.3
