level,id,name0,name1,name,population,pm2023,pm2022,pm2021,pm2020,pm2019,pm2018,pm2017,pm2016,pm2015,pm2014,pm2013,pm2012,pm2011,pm2010,pm2009,pm2008,pm2007,pm2006,pm2005,pm2004,pm2003,pm2002,pm2001,pm2000,pm1999,pm1998,who2023,who2022,who2021,who2020,who2019,who2018,who2017,who2016,who2015,who2014,who2013,who2012,who2011,who2010,who2009,who2008,who2007,who2006,who2005,who2004,who2003,who2002,who2001,who2000,who1999,who1998,nat2023,nat2022,nat2021,nat2020,nat2019,nat2018,nat2017,nat2016,nat2015,nat2014,nat2013,nat2012,nat2011,nat2010,nat2009,nat2008,nat2007,nat2006,nat2005,nat2004,nat2003,nat2002,nat2001,nat2000,nat1999,nat1998
2,17839,India,Telangana,Adilabad,720631,32.12,29.79,35.17,30.55,31.19,31.85,30.91,30.94,30.09,30.16,30.48,26.63,28.59,27.07,28.03,29.68,27.13,26.5,23.69,22.4,21.14,19.99,21.16,18.59,15.18,13.9,2.7,2.4,3,2.5,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.1,2.3,2.2,2.3,2.4,2.2,2.1,1.8,1.7,1.6,1.5,1.6,1.3,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17588,India,Madhya Pradesh,Agar Malwa,770272,34.43,31.2,37.69,34.78,37.8,34.27,36.83,33.77,33.26,34.57,35.76,32.99,34.64,31.27,31.53,31.02,29.56,29.62,26.52,24.9,27.3,24.16,22.68,21.18,16.53,16.21,2.9,2.6,3.2,2.9,3.2,2.9,3.1,2.8,2.8,2.9,3,2.7,2.9,2.6,2.6,2.5,2.4,2.4,2.1,2,2.2,1.9,1.7,1.6,1.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17880,India,Uttar Pradesh,Agra,4429524,68.89,65.03,75.14,77.44,77.96,72.15,75.34,76.39,72.49,65.84,69.22,68.11,75.12,72.39,66.44,70.65,61.99,57.84,61,57.84,60.79,56.38,53.69,47.21,46.44,47.48,6.3,5.9,6.9,7.1,7.2,6.6,6.9,7,6.6,6,6.3,6.2,6.9,6.6,6,6.4,5.6,5.2,5.5,5.2,5.5,5,4.8,4.1,4.1,4.2,2.8,2.5,3.4,3.7,3.7,3.2,3.5,3.6,3.2,2.5,2.9,2.8,3.4,3.2,2.6,3,2.2,1.7,2.1,1.7,2,1.6,1.3,0.7,0.6,0.7
2,17430,India,Gujarat,Ahmadabad,8484161,36.27,32.82,38.81,37.85,38.77,41.98,41.8,40.35,42.04,38.08,36.03,32.06,32.96,33.76,29.72,32.75,30.88,30.97,29.64,27.67,27.43,24.21,26.4,24.97,24.65,23.84,3.1,2.7,3.3,3.2,3.3,3.6,3.6,3.5,3.6,3.2,3,2.7,2.7,2.8,2.4,2.7,2.5,2.5,2.4,2.2,2.2,1.9,2.1,2,1.9,1.8,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17639,India,Maharashtra,Ahmednagar,4998109,33.64,33.1,36.31,32.78,31.39,32.86,34.27,31.87,32.11,30.43,30.34,27.53,28.78,29.64,28.15,28.03,26.67,26.94,25.31,21.98,21.73,19.87,20.26,18.16,13.13,13.57,2.8,2.8,3.1,2.7,2.6,2.7,2.9,2.6,2.7,2.5,2.5,2.2,2.3,2.4,2.3,2.3,2.1,2.2,2,1.7,1.6,1.5,1.5,1.3,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17694,India,Mizoram,Aizawl,469356,21.4,20.39,27.92,24.37,22.06,25.62,21.15,24.5,26.03,24.21,22.2,25.33,25.52,24.2,28.95,22.35,25.17,27.76,20.37,22.38,21.07,18.96,18.36,18.99,15.52,16.04,1.6,1.5,2.2,1.9,1.7,2,1.6,1.9,2.1,1.9,1.7,2,2,1.9,2.3,1.7,2,2.2,1.5,1.7,1.6,1.4,1.3,1.4,1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17770,India,Rajasthan,Ajmer,3069551,34.56,29.06,36.71,34.07,36.57,34.83,34.14,33.3,36.3,32.59,34.92,32.3,34.71,36.54,35.37,31.81,32.01,32.82,31,28.14,30.53,28.01,26.14,23.89,22.08,21.6,2.9,2.4,3.1,2.8,3.1,2.9,2.9,2.8,3.1,2.7,2.9,2.7,2.9,3.1,3,2.6,2.6,2.7,2.5,2.3,2.5,2.3,2.1,1.9,1.7,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17640,India,Maharashtra,Akola,2111573,38.7,36.34,43.52,40.06,40.37,38.1,38.16,35.58,36.36,34.99,36.32,31.72,33.81,31.78,31.34,32.5,29.58,29.93,26.65,24.99,25.45,22.64,23.11,21.45,17.09,17.15,3.3,3.1,3.8,3.4,3.5,3.2,3.2,3,3.1,2.9,3.1,2.6,2.8,2.6,2.6,2.7,2.4,2.4,2.1,2,2,1.7,1.8,1.6,1.2,1.2,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17571,India,Kerala,Alappuzha,2165337,19.12,19.13,19.71,19.17,18.65,24.74,21.14,22.06,19.3,20.61,17.99,20.17,21.07,19.13,21.29,21.1,20.26,18.9,18.41,19.12,17.54,16.2,15.33,15.14,13.41,12.27,1.4,1.4,1.4,1.4,1.3,1.9,1.6,1.7,1.4,1.5,1.3,1.5,1.6,1.4,1.6,1.6,1.5,1.4,1.3,1.4,1.2,1.1,1,1,0.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17881,India,Uttar Pradesh,Aligarh,4350429,67.5,69.44,75.67,71.35,75.58,78.11,83.61,85.43,79.72,68.81,74.14,70.1,82.57,78.34,67.84,73.68,62.82,59.1,62.98,63.45,69.67,57.43,55.79,50.12,45.52,50.47,6.1,6.3,6.9,6.5,6.9,7.2,7.7,7.9,7.3,6.3,6.8,6.4,7.6,7.2,6.2,6.7,5.7,5.3,5.7,5.7,6.3,5.1,5,4.4,4,4.5,2.7,2.9,3.5,3.1,3.5,3.7,4.3,4.5,3.9,2.8,3.3,2.9,4.2,3.8,2.7,3.3,2.2,1.9,2.3,2.3,2.9,1.7,1.5,1,0.5,1
2,17968,India,West Bengal,Alipurduar,1443438,41.05,40.86,50.68,51.2,47.89,52.55,49.25,46.39,47.19,48.01,43.95,47.61,45.12,44.52,51.34,44.79,43.19,46.76,39.88,39.62,38.76,36.71,37.24,34.71,29.75,28.92,3.5,3.5,4.5,4.5,4.2,4.7,4.3,4.1,4.1,4.2,3.8,4.2,3.9,3.9,4.5,3.9,3.7,4.1,3.4,3.4,3.3,3.1,3.2,2.9,2.4,2.3,0.1,0.1,1,1.1,0.8,1.2,0.9,0.6,0.7,0.8,0.4,0.7,0.5,0.4,1.1,0.5,0.3,0.7,0,0,0,0,0,0,0,0
2,17589,India,Madhya Pradesh,Alirajpur,847401,26.96,23.96,29.75,26.06,26.69,27.07,28.94,25.57,26.46,26.43,26.11,23.23,23.95,25.3,23.73,24.47,22.88,23.88,20.44,19.84,20.16,17.94,18.89,17.53,15.95,16.21,2.2,1.9,2.4,2.1,2.1,2.2,2.3,2,2.1,2.1,2.1,1.8,1.9,2,1.8,1.9,1.8,1.9,1.5,1.5,1.5,1.3,1.4,1.2,1.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
