level,id,name,name0,population,pm2023,pm2022,pm2021,pm2020,pm2019,pm2018,pm2017,pm2016,pm2015,pm2014,pm2013,pm2012,pm2011,pm2010,pm2009,pm2008,pm2007,pm2006,pm2005,pm2004,pm2003,pm2002,pm2001,pm2000,pm1999,pm1998,who2023,who2022,who2021,who2020,who2019,who2018,who2017,who2016,who2015,who2014,who2013,who2012,who2011,who2010,who2009,who2008,who2007,who2006,who2005,who2004,who2003,who2002,who2001,who2000,who1999,who1998,nat2023,nat2022,nat2021,nat2020,nat2019,nat2018,nat2017,nat2016,nat2015,nat2014,nat2013,nat2012,nat2011,nat2010,nat2009,nat2008,nat2007,nat2006,nat2005,nat2004,nat2003,nat2002,nat2001,nat2000,nat1999,nat1998
1,1195,Andaman and Nicobar,India,388086,14.94,12.6,14.58,15.69,15.86,16.11,13.76,16.61,15.22,17.97,15.92,15.08,15.12,15.97,17.11,15.34,15.14,16.27,13.86,16.23,14.35,13.53,12.12,11.73,11.49,11.55,0.97,0.74,0.94,1.05,1.06,1.09,0.86,1.14,1,1.27,1.07,0.99,0.99,1.08,1.19,1.01,0.99,1.1,0.87,1.1,0.92,0.84,0.7,0.66,0.64,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1196,Andhra Pradesh,India,54525046,25.97,23.38,26.1,25.01,25.81,27.78,28.09,26.21,25.15,27.74,24.28,23.32,25.33,24.61,26.4,25.25,23.93,22.7,21.79,19.24,18.35,17.81,17.76,16.93,14.96,13.16,2.06,1.8,2.07,1.96,2.04,2.23,2.26,2.08,1.97,2.23,1.89,1.8,1.99,1.92,2.1,1.98,1.86,1.73,1.65,1.4,1.31,1.26,1.25,1.17,0.98,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1197,Arunachal Pradesh,India,1607620,14.23,12.98,16.87,15.59,16.13,17.2,14.88,15.47,14.72,16.24,14.95,17.28,14.27,13.89,17.27,13.81,14.09,14.54,13.09,12.31,12.09,11.18,12.63,11.64,11.5,9.51,0.9,0.78,1.16,1.04,1.09,1.2,0.97,1.03,0.95,1.1,0.98,1.2,0.91,0.87,1.2,0.86,0.89,0.93,0.79,0.72,0.69,0.61,0.75,0.65,0.64,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1198,Assam,India,35902297,28.35,26.2,35.23,34.29,32.68,36.8,32.09,30.55,31.5,33.14,31.99,35.74,31.75,32.38,35.43,29.3,30.21,31.71,27.5,26.72,26.01,23.35,24.78,23.59,21.45,19.66,2.29,2.08,2.96,2.87,2.71,3.12,2.65,2.5,2.6,2.76,2.65,3.01,2.62,2.68,2.98,2.38,2.47,2.62,2.2,2.13,2.06,1.8,1.94,1.82,1.61,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1199,Bihar,India,126000000,60.13,63.6,64.43,62.49,68.55,76.23,72.8,75.57,68.52,69.52,69.46,71.23,69.94,62.91,67.44,64.54,60.87,59.67,51.61,50.73,50.61,48.56,52.6,45.83,40.68,40.29,5.4,5.74,5.82,5.63,6.23,6.98,6.64,6.92,6.22,6.32,6.32,6.49,6.36,5.68,6.12,5.83,5.48,5.36,4.57,4.48,4.47,4.27,4.66,4,3.5,3.46,1.97,2.31,2.39,2.2,2.8,3.55,3.21,3.49,2.79,2.89,2.89,3.06,2.93,2.25,2.69,2.4,2.05,1.93,1.14,1.05,1.04,0.84,1.23,0.57,0.07,0.03
1,1200,Chandigarh,India,1225015,44.82,43.76,43.1,41.17,42.56,42.34,44.84,46.12,42.09,39.03,41.41,38.99,41.55,40.49,35.55,36.43,32.15,31.56,30.86,30.71,30.45,27.06,27.64,24.79,20.28,21.16,3.9,3.8,3.73,3.54,3.68,3.66,3.9,4.03,3.63,3.33,3.57,3.33,3.58,3.48,2.99,3.08,2.66,2.6,2.53,2.52,2.49,2.16,2.22,1.94,1.5,1.58,0.47,0.37,0.3,0.11,0.25,0.23,0.47,0.6,0.2,0,0.14,0,0.15,0.05,0,0,0,0,0,0,0,0,0,0,0,0
1,1201,Chhattisgarh,India,30401618,51.46,48.18,55.41,53.92,52.3,50.55,49.81,51.87,49.08,48.07,48.54,42.35,47.43,42.1,44.62,45.35,42.61,37.94,37.46,37.08,34.64,33.03,33.53,29.19,27.07,26.12,4.55,4.23,4.94,4.79,4.64,4.46,4.39,4.59,4.32,4.22,4.27,3.66,4.16,3.64,3.88,3.95,3.69,3.23,3.18,3.14,2.9,2.75,2.8,2.37,2.16,2.07,1.12,0.8,1.51,1.36,1.21,1.03,0.96,1.16,0.89,0.79,0.84,0.23,0.73,0.21,0.45,0.52,0.26,0,0,0,0,0,0,0,0,0
1,1202,Dadra and Nagar Haveli,India,437458,28.72,27.78,30.2,30.01,29.41,31.11,31.49,28.66,32.25,29.63,28.48,26.29,27.83,29.07,27.87,28.76,26.42,26.09,23.86,22.5,22.22,20.25,19.85,18.23,17.11,16.02,2.32,2.23,2.47,2.45,2.39,2.56,2.6,2.32,2.67,2.41,2.3,2.09,2.24,2.36,2.24,2.33,2.1,2.07,1.85,1.72,1.69,1.49,1.46,1.3,1.19,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1203,Daman and Diu,India,294272,31.92,30.26,31.68,33.03,32.12,34.47,34.03,31.16,35.5,31.4,29.99,27.33,29.2,30.22,28.45,30.49,28.15,27.99,25.69,24.76,24.68,22.65,22.29,21.26,20.63,19.57,2.64,2.48,2.61,2.75,2.66,2.89,2.84,2.56,2.99,2.59,2.45,2.19,2.37,2.47,2.3,2.5,2.27,2.25,2.03,1.94,1.93,1.73,1.69,1.59,1.53,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1204,Goa,India,1575537,27.36,25.28,29.58,28.39,23.12,28.64,26.16,25.48,24.99,28.24,22.41,23.88,24.16,23.57,26.75,25.54,23.63,19.79,21.74,18.95,19.71,19.47,17.5,17.33,16.21,15.41,2.19,1.99,2.41,2.29,1.78,2.32,2.07,2.01,1.96,2.28,1.71,1.85,1.88,1.82,2.13,2.01,1.83,1.45,1.64,1.37,1.44,1.42,1.23,1.21,1.1,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
