"","level","id","name0","name1","name","population","pm2023","pm2022","pm2021","pm2020","pm2019","pm2018","pm2017","pm2016","pm2015","pm2014","pm2013","pm2012","pm2011","pm2010","pm2009","pm2008","pm2007","pm2006","pm2005","pm2004","pm2003","pm2002","pm2001","pm2000","pm1999","pm1998","who2023","who2022","who2021","who2020","who2019","who2018","who2017","who2016","who2015","who2014","who2013","who2012","who2011","who2010","who2009","who2008","who2007","who2006","who2005","who2004","who2003","who2002","who2001","who2000","who1999","who1998","nat2023","nat2022","nat2021","nat2020","nat2019","nat2018","nat2017","nat2016","nat2015","nat2014","nat2013","nat2012","nat2011","nat2010","nat2009","nat2008","nat2007","nat2006","nat2005","nat2004","nat2003","nat2002","nat2001","nat2000","nat1999","nat1998"
"1",2,17880,"India","Uttar Pradesh","Agra",4429524,68.89,65.03,75.14,77.44,77.96,72.15,75.34,76.39,72.49,65.84,69.22,68.11,75.12,72.39,66.44,70.65,61.99,57.84,61,57.84,60.79,56.38,53.69,47.21,46.44,47.48,6.3,5.9,6.9,7.1,7.2,6.6,6.9,7,6.6,6,6.3,6.2,6.9,6.6,6,6.4,5.6,5.2,5.5,5.2,5.5,5,4.8,4.1,4.1,4.2,2.8,2.5,3.4,3.7,3.7,3.2,3.5,3.6,3.2,2.5,2.9,2.8,3.4,3.2,2.6,3,2.2,1.7,2.1,1.7,2,1.6,1.3,0.7,0.6,0.7
"2",2,17881,"India","Uttar Pradesh","Aligarh",4350429,67.5,69.44,75.67,71.35,75.58,78.11,83.61,85.43,79.72,68.81,74.14,70.1,82.57,78.34,67.84,73.68,62.82,59.1,62.98,63.45,69.67,57.43,55.79,50.12,45.52,50.47,6.1,6.3,6.9,6.5,6.9,7.2,7.7,7.9,7.3,6.3,6.8,6.4,7.6,7.2,6.2,6.7,5.7,5.3,5.7,5.7,6.3,5.1,5,4.4,4,4.5,2.7,2.9,3.5,3.1,3.5,3.7,4.3,4.5,3.9,2.8,3.3,2.9,4.2,3.8,2.7,3.3,2.2,1.9,2.3,2.3,2.9,1.7,1.5,1,0.5,1
"3",2,17968,"India","West Bengal","Alipurduar",1443438,41.05,40.86,50.68,51.2,47.89,52.55,49.25,46.39,47.19,48.01,43.95,47.61,45.12,44.52,51.34,44.79,43.19,46.76,39.88,39.62,38.76,36.71,37.24,34.71,29.75,28.92,3.5,3.5,4.5,4.5,4.2,4.7,4.3,4.1,4.1,4.2,3.8,4.2,3.9,3.9,4.5,3.9,3.7,4.1,3.4,3.4,3.3,3.1,3.2,2.9,2.4,2.3,0.1,0.1,1,1.1,0.8,1.2,0.9,0.6,0.7,0.8,0.4,0.7,0.5,0.4,1.1,0.5,0.3,0.7,0,0,0,0,0,0,0,0
"4",2,17463,"India","Haryana","Ambala",1421315,47.54,49.09,50.2,49.35,48.8,50.43,54.93,58.16,52.69,46.96,51.12,46.58,52.33,49.77,43.57,47.18,39.79,40.27,35.74,40.18,37.43,34.78,34.52,32.23,27.11,28.39,4.2,4.3,4.4,4.3,4.3,4.5,4.9,5.2,4.7,4.1,4.5,4.1,4.6,4.4,3.8,4.1,3.4,3.5,3,3.4,3.2,2.9,2.9,2.7,2.2,2.3,0.7,0.9,1,0.9,0.9,1,1.5,1.8,1.2,0.7,1.1,0.6,1.2,1,0.3,0.7,0,0,0,0,0,0,0,0,0,0
"5",2,17882,"India","Uttar Pradesh","Ambedkar Nagar",2820142,56.34,63.88,64.64,63.33,68.15,67.88,68.71,83.37,68.18,56.65,66.75,66.07,74.58,65.94,65.61,72.76,61.69,58.68,55.08,57.27,58.99,50.41,52.01,44.67,36.94,41.5,5,5.8,5.8,5.7,6.2,6.2,6.2,7.7,6.2,5.1,6.1,6,6.8,6,5.9,6.6,5.6,5.3,4.9,5.1,5.3,4.5,4.6,3.9,3.1,3.6,1.6,2.3,2.4,2.3,2.8,2.7,2.8,4.3,2.8,1.6,2.6,2.6,3.4,2.5,2.5,3.2,2.1,1.8,1.5,1.7,1.9,1,1.2,0.5,0,0.1
"6",2,17883,"India","Uttar Pradesh","Amethi",2971935,55.83,60.85,61.88,61.41,68.71,62.2,68.75,77.51,62.89,54.07,61.4,59.16,70.7,61.86,63.79,70.96,57.25,52.24,53.27,57.87,57.82,50.09,50.48,45.95,39.76,43.71,5,5.5,5.6,5.5,6.2,5.6,6.2,7.1,5.7,4.8,5.5,5.3,6.4,5.6,5.8,6.5,5.1,4.6,4.7,5.2,5.2,4.4,4.5,4,3.4,3.8,1.6,2,2.1,2.1,2.8,2.2,2.8,3.7,2.2,1.4,2.1,1.9,3,2.1,2.3,3,1.7,1.2,1.3,1.8,1.7,1,1,0.6,0,0.4
"7",2,17748,"India","Punjab","Amritsar",2754606,53.59,55.59,56.73,51.67,51.43,52.79,52.59,55.96,51.78,46.39,49.15,43.67,54.15,50.95,45.65,49.65,46.88,43.92,42.93,39.16,40.42,35.9,36.84,34.33,28.19,30.13,4.8,5,5.1,4.6,4.6,4.7,4.7,5,4.6,4.1,4.3,3.8,4.8,4.5,4,4.4,4.1,3.8,3.7,3.3,3.5,3,3.1,2.9,2.3,2.5,1.3,1.5,1.6,1.1,1.1,1.3,1.2,1.6,1.2,0.6,0.9,0.4,1.4,1.1,0.6,0.9,0.7,0.4,0.3,0,0,0,0,0,0,0
"8",2,17884,"India","Uttar Pradesh","Amroha",2435064,50.14,55.65,60.2,55.22,55.16,63.75,68.73,72.75,68.16,59.51,67.01,59.83,72.44,67.18,58.94,61.69,52.47,49.26,49.7,53.05,55.17,48.3,45.24,43.09,36.17,39.42,4.4,5,5.4,4.9,4.9,5.8,6.2,6.6,6.2,5.3,6.1,5.4,6.6,6.1,5.3,5.6,4.7,4.3,4.4,4.7,4.9,4.2,3.9,3.7,3.1,3.4,1,1.5,2,1.5,1.5,2.3,2.8,3.2,2.8,1.9,2.6,1.9,3.2,2.7,1.9,2.1,1.2,0.9,1,1.3,1.5,0.8,0.5,0.3,0,0
"9",2,17359,"India","Bihar","Araria",3425442,53.7,53.14,57.25,56.78,56.5,64.97,58,55.79,57.13,58.18,56.67,63.01,56.35,52.71,64.54,51.98,53.82,55.84,46.43,41.68,43.5,41.39,45.06,39.46,35.26,37.44,4.8,4.7,5.1,5.1,5,5.9,5.2,5,5.1,5.2,5.1,5.7,5,4.7,5.8,4.6,4.8,5,4.1,3.6,3.8,3.6,3.9,3.4,3,3.2,1.3,1.3,1.7,1.6,1.6,2.4,1.8,1.5,1.7,1.8,1.6,2.3,1.6,1.2,2.4,1.2,1.4,1.6,0.6,0.2,0.3,0.1,0.5,0,0,0
"10",2,17360,"India","Bihar","Arwal",850133,55.09,58.96,61.83,58.22,65.8,68.02,69.26,73.43,60.99,63.49,62.8,61.68,65.33,57.82,56.81,62.86,51.56,47.22,44.57,46.56,47.28,44.72,47.74,42.17,39.35,38.5,4.9,5.3,5.6,5.2,6,6.2,6.3,6.7,5.5,5.7,5.7,5.6,5.9,5.2,5.1,5.7,4.6,4.1,3.9,4.1,4.1,3.9,4.2,3.6,3.4,3.3,1.5,1.9,2.1,1.8,2.5,2.7,2.9,3.3,2.1,2.3,2.2,2.1,2.5,1.7,1.6,2.2,1.1,0.7,0.4,0.6,0.7,0.5,0.8,0.2,0,0
