level,id,name,name0,population,pm2023,pm2022,pm2021,pm2020,pm2019,pm2018,pm2017,pm2016,pm2015,pm2014,pm2013,pm2012,pm2011,pm2010,pm2009,pm2008,pm2007,pm2006,pm2005,pm2004,pm2003,pm2002,pm2001,pm2000,pm1999,pm1998,who2023,who2022,who2021,who2020,who2019,who2018,who2017,who2016,who2015,who2014,who2013,who2012,who2011,who2010,who2009,who2008,who2007,who2006,who2005,who2004,who2003,who2002,who2001,who2000,who1999,who1998,nat2023,nat2022,nat2021,nat2020,nat2019,nat2018,nat2017,nat2016,nat2015,nat2014,nat2013,nat2012,nat2011,nat2010,nat2009,nat2008,nat2007,nat2006,nat2005,nat2004,nat2003,nat2002,nat2001,nat2000,nat1999,nat1998
1,1219,NCT of Delhi,India,18836889,88.35,84.66,92.84,85.55,92.73,99.26,99.22,104.5,100.79,84.89,90.89,87.09,104.4,100.65,79.6,85.49,77.88,69.98,74.47,71.91,78.4,68.65,65.76,60.2,56.4,56.31,8.17,7.81,8.61,7.89,8.6,9.24,9.23,9.75,9.39,7.83,8.42,8.04,9.74,9.37,7.31,7.89,7.14,6.37,6.81,6.56,7.19,6.24,5.95,5.41,5.04,5.03,4.74,4.38,5.18,4.46,5.17,5.81,5.8,6.32,5.96,4.4,4.99,4.61,6.31,5.94,3.88,4.46,3.71,2.94,3.38,3.13,3.76,2.81,2.52,1.98,1.61,1.6
1,1199,Bihar,India,126000000,60.13,63.6,64.43,62.49,68.55,76.23,72.8,75.57,68.52,69.52,69.46,71.23,69.94,62.91,67.44,64.54,60.87,59.67,51.61,50.73,50.61,48.56,52.6,45.83,40.68,40.29,5.4,5.74,5.82,5.63,6.23,6.98,6.64,6.92,6.22,6.32,6.32,6.49,6.36,5.68,6.12,5.83,5.48,5.36,4.57,4.48,4.47,4.27,4.66,4,3.5,3.46,1.97,2.31,2.39,2.2,2.8,3.55,3.21,3.49,2.79,2.89,2.89,3.06,2.93,2.25,2.69,2.4,2.05,1.93,1.14,1.05,1.04,0.84,1.23,0.57,0.07,0.03
1,1206,Haryana,India,29773027,58.68,56.81,62.73,60.37,62.49,66.82,71.54,73.14,68.54,58.27,62.23,59.81,70.17,67.92,57.82,60.1,55.31,51.23,51.33,49.63,52.1,46.07,43.67,40.29,35.53,35.81,5.26,5.08,5.66,5.43,5.63,6.06,6.52,6.68,6.23,5.22,5.61,5.37,6.39,6.17,5.18,5.4,4.93,4.53,4.54,4.37,4.62,4.02,3.79,3.46,2.99,3.02,1.83,1.65,2.23,2,2.2,2.63,3.09,3.25,2.8,1.79,2.18,1.94,2.96,2.74,1.75,1.97,1.5,1.1,1.11,0.94,1.19,0.59,0.36,0.03,0,0
1,1229,Uttar Pradesh,India,235000000,56.18,59.7,63.01,61.04,64.82,65.36,68.99,74.53,66.58,58.52,64.59,62.14,70.46,64.03,61.1,65.83,56.4,52.47,52.2,53.63,54.63,48.4,49.04,44.06,38.45,40.82,5.02,5.36,5.68,5.49,5.86,5.92,6.27,6.81,6.03,5.24,5.84,5.6,6.42,5.78,5.5,5.96,5.04,4.65,4.63,4.77,4.86,4.25,4.32,3.83,3.28,3.51,1.59,1.93,2.25,2.06,2.43,2.49,2.84,3.38,2.6,1.81,2.41,2.17,2.99,2.35,2.07,2.53,1.61,1.22,1.2,1.34,1.43,0.82,0.89,0.4,0,0.08
1,1201,Chhattisgarh,India,30401618,51.46,48.18,55.41,53.92,52.3,50.55,49.81,51.87,49.08,48.07,48.54,42.35,47.43,42.1,44.62,45.35,42.61,37.94,37.46,37.08,34.64,33.03,33.53,29.19,27.07,26.12,4.55,4.23,4.94,4.79,4.64,4.46,4.39,4.59,4.32,4.22,4.27,3.66,4.16,3.64,3.88,3.95,3.69,3.23,3.18,3.14,2.9,2.75,2.8,2.37,2.16,2.07,1.12,0.8,1.51,1.36,1.21,1.03,0.96,1.16,0.89,0.79,0.84,0.23,0.73,0.21,0.45,0.52,0.26,0,0,0,0,0,0,0,0,0
1,1223,Punjab,India,31077295,49.64,48.7,53.27,50.18,48.7,51.79,52.17,56.62,53.56,46.34,49.81,45.94,54.62,52.85,45.48,47.63,45.28,42.58,41.96,39.36,40.78,35.58,34.15,31.86,27.12,28.41,4.37,4.28,4.73,4.43,4.28,4.59,4.62,5.06,4.76,4.05,4.39,4.01,4.86,4.69,3.97,4.18,3.95,3.68,3.62,3.37,3.51,3,2.86,2.63,2.17,2.29,0.94,0.85,1.3,1,0.85,1.16,1.19,1.63,1.33,0.62,0.96,0.58,1.43,1.26,0.54,0.75,0.52,0.25,0.19,0,0.08,0,0,0,0,0
1,1228,Tripura,India,4217028,47.14,43.55,53.15,50.47,46.99,58.11,43.55,47.39,49.04,50.22,44.34,49.91,46.1,47.54,49.4,42.7,42.58,45.06,40.24,39.22,39.31,35.59,36.67,37,32.36,31.58,4.13,3.78,4.72,4.46,4.12,5.2,3.78,4.15,4.32,4.43,3.86,4.4,4.03,4.17,4.35,3.69,3.68,3.93,3.45,3.35,3.36,3,3.1,3.14,2.68,2.6,0.7,0.35,1.29,1.03,0.69,1.77,0.35,0.72,0.89,1,0.43,0.97,0.6,0.74,0.92,0.26,0.25,0.5,0.02,0,0,0,0,0,0,0
1,1231,West Bengal,India,103000000,46.92,44.23,53.61,52.41,52.02,57.4,54.14,54.73,52.33,53.92,50.22,51.15,51.49,46.41,52.46,48.78,44.2,43.47,39.45,36.87,35.03,35.1,33.03,32.41,28.18,26.22,4.11,3.84,4.76,4.65,4.61,5.14,4.82,4.87,4.64,4.79,4.43,4.52,4.56,4.06,4.65,4.29,3.84,3.77,3.38,3.12,2.94,2.95,2.75,2.69,2.27,2.08,0.68,0.41,1.33,1.22,1.18,1.71,1.39,1.44,1.21,1.36,1,1.09,1.13,0.63,1.22,0.86,0.41,0.34,0,0,0,0,0,0,0,0
1,1200,Chandigarh,India,1225015,44.82,43.76,43.1,41.17,42.56,42.34,44.84,46.12,42.09,39.03,41.41,38.99,41.55,40.49,35.55,36.43,32.15,31.56,30.86,30.71,30.45,27.06,27.64,24.79,20.28,21.16,3.9,3.8,3.73,3.54,3.68,3.66,3.9,4.03,3.63,3.33,3.57,3.33,3.58,3.48,2.99,3.08,2.66,2.6,2.53,2.52,2.49,2.16,2.22,1.94,1.5,1.58,0.47,0.37,0.3,0.11,0.25,0.23,0.47,0.6,0.2,0,0.14,0,0.15,0.05,0,0,0,0,0,0,0,0,0,0,0,0
1,1209,Jharkhand,India,39172678,42.09,40.53,49.19,47.38,48.13,46.61,49.27,50.32,48.08,45.42,47.16,45.08,49.37,40.65,45.49,47.47,40.31,37.44,34.46,35.85,34.08,33.71,32.23,29.99,26.25,25.22,3.63,3.48,4.33,4.15,4.23,4.08,4.34,4.44,4.22,3.96,4.13,3.93,4.35,3.49,3.97,4.16,3.46,3.18,2.89,3.02,2.85,2.81,2.67,2.45,2.08,1.98,0.2,0.05,0.9,0.72,0.8,0.65,0.91,1.01,0.79,0.53,0.7,0.5,0.92,0.06,0.54,0.73,0.03,0,0,0,0,0,0,0,0,0
