"","Prefecture","Population (Millions)","PM2.5 concentration 2023 (µg/m³)","Life Expectancy Gains from reducing PM2.5 from 2014 concentrations to 2023 concentrations","Life Expectancy Gains from reducing PM2.5 concentrations from 2023 Concentration to the WHO Guideline of 5 µg/m³","Life Expectancy Gains from reducing PM2.5 concentrations from 2023 Concentration to the National Standard of 35 µg/m³"
"1","Chongqing",30.6,30.3,1.8,2.5,0
"2","Shanghai",24.4,25.8,1.6,2,0
"3","Beijing",20.8,30.9,3.8,2.5,0
"4","Chengdu",14.2,39.8,1.5,3.4,0.5
"5","Tianjin",13.7,37.8,3.3,3.2,0.3
"6","Guangzhou",13.4,26.4,1.2,2.1,0
"7","Baoding",11.8,32.6,5.5,2.7,0
"8","Harbin",11.3,32,2.5,2.6,0
"9","Suzhou",11.1,27.2,2.2,2.2,0
"10","Nanyang",10.9,30.5,2.2,2.5,0
"11","Shijiazhuang",10.8,42.6,5.1,3.7,0.8
"12","Shenzhen",10.8,20.1,1.1,1.5,0
"13","Linyi",10.6,31.6,2.2,2.6,0
"14","Wuhan",10.3,37,3.1,3.1,0.2
"15","Handan",9.7,38,3.9,3.2,0.3
"16","Weifang",9.7,32,1.9,2.6,0
"17","Zhoukou",9.5,34.3,2.2,2.9,0
"18","Wenzhou",9.5,23.8,1.1,1.8,0
"19","Hangzhou",9.4,26.6,2.4,2.1,0
"20","Zhengzhou",9.1,36,3,3,0.1
"21","Xi'an",9.1,39.7,1.6,3.4,0.5
"22","Xuzhou",9.1,36.8,2.1,3.1,0.2
"23","Qingdao",9.1,26.6,1.7,2.1,0
"24","Ganzhou",8.9,18.6,1.6,1.3,0
"25","Heze",8.8,36.5,2.3,3.1,0.1
