State,Population (millions),"Annual average PM2.5 concentration, 1998 (in µg/m³)","Annual average PM2.5 concentration, 2023 (in µg/m³)",Life Expectancy Gains from reducing PM2.5 from 1998 concentrations to 2023 concentrations (Months),Life Expectancy Gains from reducing PM2.5 from 2023 concentrations to the WHO Guideline of 5 µg/m³ (Months)
Alabama,5.2,15.79,8.7,8.3,4.32
Alaska,0.7,4.35,3.63,0.8,0
Arizona,7.5,9.12,6.21,3.4,1.44
Arkansas,3.1,15.13,8.7,7.6,4.32
California,39.7,9.87,7.92,2.3,3.4799999999999995
Colorado,6,6.14,6.15,-0,1.32
Connecticut,3.7,12.12,7.78,5.1,3.24
Delaware,1,14.75,8.68,7.1,4.32
District of Columbia,0.9,14.35,9.37,5.9,5.16
Florida,22.4,11.2,6.95,5,2.2800000000000002
Georgia,11.1,17,8.91,9.5,4.5600000000000005
Hawaii,1.4,1.87,1.93,-0.1,0
Idaho,2,5.46,5.88,-0.5,1.08
Illinois,12.8,16.93,10.07,8.1,6
Indiana,7,16.43,9.54,8.1,5.28
Iowa,3.3,12.61,8.7,4.6,4.32
Kansas,3,11.44,7.93,4.1,3.4799999999999995
Kentucky,4.6,15.84,8.62,8.5,4.199999999999999
Louisiana,4.7,12.7,8.82,4.6,4.4399999999999995
Maine,1.4,7.96,5.46,2.9,0.6000000000000001
Maryland,6.1,14.72,8.63,7.2,4.32
Massachusetts,7,10.68,7.09,4.2,2.4000000000000004
Michigan,10.2,13.65,9.43,5,5.16
Minnesota,5.8,10.05,9.28,0.9,5.04
Mississippi,3,14.94,8.84,7.2,4.5600000000000005
Missouri,6.3,13.95,8.5,6.4,4.08
Montana,1.1,5.76,6.47,-0.8,1.6800000000000002
Nebraska,2,10.16,7.76,2.8,3.24
Nevada,3.2,5.64,5.19,0.5,0.24
New Hampshire,1.4,10.08,6.41,4.3,1.6800000000000002
New Jersey,9.4,13.93,8.68,6.2,4.32
New Mexico,2.2,5.84,4.59,1.5,0
New York,19.8,12.87,8.61,5,4.199999999999999
North Carolina,10.9,15.01,8.09,8.1,3.5999999999999996
North Dakota,0.8,7.33,7.99,-0.8,3.4799999999999995
Ohio,12,15.07,9.56,6.5,5.4
Oklahoma,4.1,12.18,9.37,3.3,5.16
Oregon,4.3,5.54,5.02,0.6,0
Pennsylvania,13.2,15.69,9.52,7.3,5.28
Rhode Island,1.1,11.21,7.62,4.2,3.12
South Carolina,5.4,15.15,7.97,8.4,3.4799999999999995
South Dakota,0.9,7.88,7.71,0.2,3.24
Tennessee,7.2,16.7,8.4,9.8,3.96
Texas,30.6,12.04,8.74,3.9,4.4399999999999995
Utah,3.4,6.4,6.87,-0.6,2.16
Vermont,0.7,9.4,6.73,3.1,2.04
Virginia,8.7,13.87,8.44,6.4,4.08
Washington,7.9,6.38,5.2,1.4,0.24
West Virginia,1.8,15.49,8.58,8.1,4.199999999999999
Wisconsin,6,13.13,9.8,3.9,5.64
Wyoming,0.6,6.21,4.87,1.6,0
