years,global_avg_pm2.5_2020_dataset,le_gains_red_pm2.5_to_who
2000,24.332277941886915,1.9
2001,25.772392088849323,2
2002,26.256336158999865,2.1
2003,28.11119640662106,2.3
2004,27.64490245709783,2.2
2005,28.928847829067248,2.3
2006,29.998735718239356,2.4
2007,30.373909740480943,2.5
2008,30.6712854728329,2.5
2009,30.412100048848814,2.5
2010,30.302752145452622,2.5
2011,32.300208779982476,2.7
2012,30.510898249656805,2.5
2013,31.163634721360932,2.6
2014,30.387282017745076,2.5
2015,29.961998477047775,2.4
2016,29.557260278803994,2.4
2017,28.394385664365362,2.3
2018,27.709976936573586,2.2
2019,27.74654080778664,2.2
2020,27.492967012765497,2.2
