years,Reference Dataset,PM2.5,le_gains
1998,2020 dataset,22.799725867514844,1.7443731350164549
1998,2019 dataset,32.656923030196786,2.710378456959285
1998,2016 dataset,19.18298855430292,1.3899328783216862
1999,2020 dataset,22.063745911908967,1.6722470993670788
1999,2019 dataset,27.99045006039284,2.253064105918498
1999,2016 dataset,19.309506200467535,1.4023316076458185
2000,2020 dataset,24.332277941886915,1.8945632383049178
2000,2019 dataset,30.382836316734537,2.4875179590399847
2000,2016 dataset,19.124852010958108,1.3842354970738946
2001,2020 dataset,25.772392088849323,2.0356944247072337
2001,2019 dataset,29.783874947296102,2.428819744835018
2001,2016 dataset,21.528924746884254,1.619834625194657
2002,2020 dataset,26.256336158999865,2.083120943581987
2002,2019 dataset,30.455317731787023,2.494621137715128
2002,2016 dataset,22.0172689245468,1.6676923546055866
2003,2020 dataset,28.11119640662106,2.2648972478488636
2003,2019 dataset,29.71144463653845,2.421721574380768
2003,2016 dataset,23.464111816959537,1.8094829580620346
2004,2020 dataset,27.64490245709783,2.2192004407955874
2004,2019 dataset,30.14800139330275,2.4645041365436695
2004,2016 dataset,22.824257302490256,1.746777215644045
2005,2020 dataset,28.928847829067248,2.3450270872485905
2005,2019 dataset,29.33902568358964,2.385224516991785
2005,2016 dataset,24.506891838078257,1.9116754001316694
2006,2020 dataset,29.998735718239356,2.449876100387457
2006,2019 dataset,30.936314881718037,2.5417588584083677
2006,2016 dataset,25.416545689302538,2.0008214775516486
2007,2020 dataset,30.373909740480943,2.4866431545671324
2007,2019 dataset,31.264556380201295,2.573926525259727
2007,2016 dataset,25.28994957393371,1.9884150582455038
2008,2020 dataset,30.6712854728329,2.5157859763376242
2008,2019 dataset,31.572659488925506,2.6041206299146995
2008,2016 dataset,25.277057748849753,1.9871516593872758
2009,2020 dataset,30.412100048848814,2.490385804787184
2009,2019 dataset,32.797100840598446,2.7241158823786478
2009,2016 dataset,24.87098313358828,1.9473563470916515
2010,2020 dataset,30.302752145452622,2.479669710254357
2010,2019 dataset,32.656923030196786,2.710378456959285
2010,2016 dataset,24.866313963730168,1.9468987684455565
2011,2020 dataset,32.300208779982476,2.675420460438283
2011,2019 dataset,35.98746240845306,3.0367713160284002
2011,2016 dataset,23.640427801097143,1.8267619245075202
2012,2020 dataset,30.510898249656805,2.5000680284663668
2012,2019 dataset,36.26647523863972,3.064114573386693
2012,2016 dataset,23.47607693385753,1.8106555395180381
2013,2020 dataset,31.163634721360932,2.5640362026933716
2013,2019 dataset,34.4230624712561,2.883460122183098
2013,2016 dataset,25.437330757268718,2.0028584142123345
2014,2020 dataset,30.387282017745076,2.4879536377390177
2014,2019 dataset,33.156904746241494,2.7593766651316667
2014,2016 dataset,25.547788417424687,2.0136832649076193
2015,2020 dataset,29.961998477047775,2.446275850750682
2015,2019 dataset,33.08219074937687,2.7520546934389336
2015,2016 dataset,26.94432620494117,2.150543968084235
2016,2020 dataset,29.557260278803994,2.4066115073227916
2016,2019 dataset,34.16848379338649,2.858511411751876
2016,2016 dataset,26.939712413239427,2.150091816497464
2017,2020 dataset,28.394385664365362,2.2926497951078058
2017,2019 dataset,31.02531554691576,2.5504809235977444
2017,2016 dataset,NA,NA
2018,2020 dataset,27.709976936573586,2.2255777397842116
2018,2019 dataset,33.15216855727773,2.7589125186132177
2018,2016 dataset,NA,NA
2019,2020 dataset,27.74654080778664,2.2291609991630907
2019,2019 dataset,32.2171215301309,2.6672779099528285
2019,2016 dataset,NA,NA
2020,2020 dataset,27.492967012765497,2.2043107672510187
2020,2019 dataset,NA,NA
2020,2016 dataset,NA,NA
