CityName,InvestmentBroadCategory,AmountSpent
Kolkata,Pollution Clean Up,80000000
Ahmedabad,Pollution Clean Up,63000000
Agra,Pollution Clean Up,59750000
Surat,Pollution Clean Up,59000000
Lucknow,Pollution Clean Up,58000000
Hyderabad,Monitoring Coverage,78000000
Amritsar,Monitoring Coverage,55000000
Ludhiana,Monitoring Coverage,55000000
Bengaluru,Monitoring Coverage,48000000
Bhubneshwar Cuttack,Monitoring Coverage,44000000
Raipur,Pollution Mitigation,42000000
Jaipur,Pollution Mitigation,38000000
Jodhpur,Pollution Mitigation,38000000
Bhilai,Pollution Mitigation,34000000
Chandigarh,Pollution Mitigation,30000000
Pune,Public Engagement and Awareness,30000000
Mumbai,Public Engagement and Awareness,20000000
Amritsar,Public Engagement and Awareness,19500000
Ludhiana,Public Engagement and Awareness,14000000
Navi Mumbai,Public Engagement and Awareness,11000000
Ludhiana,Miscellaneous,10000000
Amritsar,Miscellaneous,9500000
Agra,Miscellaneous,1000000
Kanpur,Miscellaneous,1000000
Lucknow,Miscellaneous,1000000
