years,region,pop_weighted_avg_pm2.5
1998,National Average,45.93089211418183
1999,National Average,46.55499774717269
2000,National Average,52.13949319356401
2001,National Average,54.52733912725908
2002,National Average,53.82352509584246
2003,National Average,55.590890205946366
2004,National Average,54.877024273347565
2005,National Average,59.922705126753826
2006,National Average,64.38080000848275
2007,National Average,62.433651122709584
2008,National Average,65.1203263441751
2009,National Average,71.04430892962846
2010,National Average,66.32777007141745
2011,National Average,70.5836116805908
2012,National Average,71.57269306572937
2013,National Average,65.58010071855404
2014,National Average,68.4117051414501
2015,National Average,65.4100996998364
2016,National Average,68.63206729252657
2017,National Average,62.96796855683791
2018,National Average,77.11507410394636
2019,National Average,66.96924483273936
2020,National Average,75.75862921200846
