name_1,tot_pop,avg_pm2.5_2020,le_gain
Uttar Pradesh,220106528,88.29220111558158,8.162635709326995
Maharashtra,120355072,38.66263820917499,3.2989385444991495
Bihar,117926990,85.90935915923987,7.929117197605508
West Bengal,96640789,65.39910022744355,5.9191118222894685
Madhya Pradesh,79862937,51.04970950833649,4.512871531816976
Tamil Nadu,77355378,25.389804734902903,1.9982008640204845
Rajasthan,75847254,54.01077468467328,4.803055919097981
Gujarat,66119322,36.825298709618245,3.1188792735425883
Karnataka,65307872,27.35514001674374,2.1908037216408864
Andhra Pradesh,51445702,28.92373754166832,2.3445262790834955
