years,region,pop_weighted_avg_pm2.5
1998,National Average,12.96554832153005
1999,National Average,13.375059458313109
2000,National Average,14.377962407885953
2001,National Average,15.437415891541006
2002,National Average,18.85280308563032
2003,National Average,16.310070750208524
2004,National Average,18.69585277122608
2005,National Average,18.23246828428573
2006,National Average,22.31396223230026
2007,National Average,18.49984292196441
2008,National Average,17.330738287256718
2009,National Average,19.824793360452855
2010,National Average,17.929966449267926
2011,National Average,19.386848091681163
2012,National Average,19.554960974914618
2013,National Average,18.91443599108762
2014,National Average,22.894280368365454
2015,National Average,24.471461577668716
2016,National Average,18.92063873543737
2017,National Average,16.323613824713576
2018,National Average,18.336817040209972
2019,National Average,21.322557760688635
2020,National Average,16.985635856401885
