objectid_level,iso_alpha3,country,population,whostandard,natstandard,pm2021,pm2021_reduced_to,llpp_who_2021,llpp_nat_2021,llpp_pol_red_2021,total_lyl_who_2021_millions,total_lyl_nat_2021_millions,total_lyl_pol_red_2021_millions,pop_millions,total_person_years_gained_billions
1,CHN,China,1402508466,5,35,30.2,27.2,2.5,0,0.3,3506.3,0,420.8,1402.5,3.506271165
1,IND,India,1338260837,5,40,58.7,52.800000000000004,5.3,1.8,0.6,7092.8,2408.9,803,1338.3,7.092782436099999
1,USA,United States,330656400,5,12,7.8,7,0.3,0,0.1,99.2,0,33.1,330.7,0.09919692
1,IDN,Indonesia,271983396,5,15,18.8,16.900000000000002,1.4,0.4,0.2,380.8,108.8,54.4,272,0.3807767544
1,PAK,Pakistan,238039784,5,15,44.7,40.2,3.9,2.9,0.4,928.4,690.3,95.2,238,0.9283551576
1,NGA,Nigeria,218604443,5,NA,23,20.7,1.8,NA,0.2,393.5,NA,43.7,218.6,0.3934879974
1,BRA,Brazil,213107172,5,NA,11.1,10,0.6,NA,0.1,127.9,NA,21.3,213.1,0.1278643032
1,BGD,Bangladesh,164804810,5,15,74,66.6,6.8,5.8,0.7,1120.7,955.9,115.4,164.8,1.120672708
1,RUS,Russia,141131855,5,25,11.3,10.200000000000001,0.6,0,0.1,84.7,0,14.1,141.1,0.084679113
1,MEX,México,130067436,5,12,17.3,15.600000000000001,1.2,0.5,0.2,156.1,65,26,130.1,0.1560809232
