years,region,pop_weighted_avg_pm2.5,region_order
1998,BTH,47.884002028131505,4
1999,BTH,46.100608159172026,4
2000,BTH,53.429143189544114,4
2001,BTH,52.5505187392321,4
2002,BTH,54.64841506964774,4
2003,BTH,68.99293177251023,4
2004,BTH,64.49034919679329,4
2005,BTH,67.6883157486878,4
2006,BTH,77.43688602966415,4
2007,BTH,78.20741431091767,4
2008,BTH,71.42910529761825,4
2009,BTH,72.75522720839511,4
2010,BTH,71.19149555855952,4
2011,BTH,79.31406077456188,4
2012,BTH,74.12547700733943,4
2013,BTH,85.02337972979727,4
2014,BTH,83.69906495009444,4
2015,BTH,72.64948278472698,4
2016,BTH,67.88053309880955,4
2017,BTH,58.70533636016803,4
2018,BTH,50.1026724979986,4
2019,BTH,47.92164595846491,4
2020,BTH,44.21932384016087,4
2021,BTH,39.93930500390212,4
1998,PRD,26.831044155924122,2
1999,PRD,25.481515073856105,2
2000,PRD,30.19526817740281,2
2001,PRD,32.575696309291565,2
2002,PRD,33.18078020520599,2
2003,PRD,36.6769652541443,2
2004,PRD,41.3262301921362,2
2005,PRD,39.410962216701854,2
2006,PRD,42.59605933301526,2
2007,PRD,43.6921625230957,2
2008,PRD,42.39421217346822,2
2009,PRD,40.74559282168152,2
2010,PRD,35.705983978236596,2
2011,PRD,43.17689789909904,2
2012,PRD,42.40988010354803,2
2013,PRD,41.8037359821504,2
2014,PRD,37.589635722319564,2
2015,PRD,31.574121260924876,2
2016,PRD,29.684996279369418,2
2017,PRD,31.967511335762875,2
2018,PRD,28.347401880944172,2
2019,PRD,26.319592305596977,2
2020,PRD,20.976870007965143,2
2021,PRD,22.208107130625525,2
1998,YRD,35.03154924041357,3
1999,YRD,36.17129572090663,3
2000,YRD,37.75573285482179,3
2001,YRD,39.42812775574806,3
2002,YRD,44.7340428094151,3
2003,YRD,48.539388679893364,3
2004,YRD,46.32974311118242,3
2005,YRD,47.78587844350809,3
2006,YRD,47.73128651177314,3
2007,YRD,50.570260454377255,3
2008,YRD,51.954501051586185,3
2009,YRD,50.04843221995493,3
2010,YRD,45.887803245550785,3
2011,YRD,48.41125175620445,3
2012,YRD,40.125404395911964,3
2013,YRD,52.350110797212395,3
2014,YRD,52.99160122298316,3
2015,YRD,48.76040394463756,3
2016,YRD,43.58911071404018,3
2017,YRD,40.52651236182626,3
2018,YRD,37.63763474060901,3
2019,YRD,35.565852706849036,3
2020,YRD,31.620217937134672,3
2021,YRD,29.093422056382224,3
1998,China,32.77004132045646,1
1999,China,31.88546844824536,1
2000,China,35.76546307302647,1
2001,China,37.04133595677703,1
2002,China,39.63101588262356,1
2003,China,45.427917346432615,1
2004,China,44.188193940328055,1
2005,China,47.22059254571373,1
2006,China,50.29461219568139,1
2007,China,50.605755840678114,1
2008,China,50.11518021504763,1
2009,China,47.99976297804394,1
2010,China,46.72413901018834,1
2011,China,52.48377510956857,1
2012,China,49.01739741254439,1
2013,China,52.285255031473014,1
2014,China,50.20594257512311,1
2015,China,46.84838770309427,1
2016,China,43.409861629348626,1
2017,China,40.91298321797795,1
2018,China,35.82644240926814,1
2019,China,35.08662280741626,1
2020,China,31.912841096119273,1
2021,China,30.199905617582203,1
