Department,Muncipality,Population (Millions),PM2.5 concentration 2021 (in µg/m³),Life Expectancy Gains from reducing PM2.5 from 2021 Concentrations to the WHO Guideline of 5 µg/m³,Life Expectancy Gains from reducing PM2.5 from 2021 Concentrations by 30 percent
Bogotá D.C.,Bogotá D.C.,8.3,15.1,1,0.4
Antioquia,Medellín,2.5,17.4,1.2,0.5
Valle del Cauca,Santiago de Cali,2.5,12.8,0.8,0.4
Atlántico,Barranquilla,1.2,8.5,0.3,0.2
Bolívar,Cartagena de Indias,1,9.7,0.5,0.3
Atlántico,Soledad,0.7,9.6,0.4,0.3
Norte de Santander,San José de Cúcuta,0.7,15.2,1,0.4
Tolima,Ibagué,0.6,12.3,0.7,0.4
Cundinamarca,Soacha,0.6,17.3,1.2,0.5
Meta,Villavicencio,0.5,13.9,0.9,0.4
Santander,Bucaramanga,0.5,15.1,1,0.4
Magdalena,Santa Marta,0.5,6.9,0.2,0.2
Cesar,Valledupar,0.5,10.5,0.5,0.3
Antioquia,Bello,0.5,16.5,1.1,0.5
Risaralda,Pereira,0.5,11.2,0.6,0.3
Córdoba,Montería,0.5,14,0.9,0.4
Nariño,San Juan de Pasto,0.5,11.4,0.6,0.3
Valle del Cauca,Buenaventura,0.4,10.3,0.5,0.3
Caldas,Manizales,0.4,13.6,0.8,0.4
Huila,Neiva,0.3,12.9,0.8,0.4
Valle del Cauca,Palmira,0.3,12.9,0.8,0.4
Quindío,Armenia,0.3,11,0.6,0.3
La Guajira,Riohacha,0.3,5.8,0.1,0.2
Sucre,Sincelejo,0.3,12.9,0.8,0.4
Cauca,Popayán,0.3,12.4,0.7,0.4
