objectid_gadm2,iso_alpha3,country,name_1,name_2,population,whostandard,natstandard,pm1998,pm1999,pm2000,pm2001,pm2002,pm2003,pm2004,pm2005,pm2006,pm2007,pm2008,pm2009,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017,pm2018,pm2019,pm2020,pm2021,llpp_who_1998,llpp_who_1999,llpp_who_2000,llpp_who_2001,llpp_who_2002,llpp_who_2003,llpp_who_2004,llpp_who_2005,llpp_who_2006,llpp_who_2007,llpp_who_2008,llpp_who_2009,llpp_who_2010,llpp_who_2011,llpp_who_2012,llpp_who_2013,llpp_who_2014,llpp_who_2015,llpp_who_2016,llpp_who_2017,llpp_who_2018,llpp_who_2019,llpp_who_2020,llpp_who_2021,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018,llpp_nat_2019,llpp_nat_2020,llpp_nat_2021,continent.x,continent.y,continent,lyl_bucket,order_lyl_bucket
11386,COL,Colombia,Bogotá D.C.,Bogotá D.C.,8287730,5,20,11.39,9.33,13.49,18.97,17.43,18.86,18.07,18.23,17.44,17.69,17.52,17.81,19.22,18.42,18.6,19.49,19.39,17.02,17.75,17.42,15.13,16.72,17.67,15.14,0.63,0.42,0.83,1.37,1.22,1.36,1.28,1.3,1.22,1.24,1.23,1.26,1.39,1.32,1.33,1.42,1.41,1.18,1.25,1.22,0.99,1.15,1.24,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,South America,NA,South America,0.5 to < 1,3
11299,COL,Colombia,Antioquia,Medellín,2549398,5,20,15.82,13.72,16.11,20.29,19.55,21.15,18.84,19.51,19.26,19.18,17.99,20.43,20.66,20.48,21.31,19.59,21.19,20.74,20.36,18.59,18.4,19.37,18.78,17.44,1.06,0.85,1.09,1.5,1.43,1.58,1.36,1.42,1.4,1.39,1.27,1.51,1.53,1.52,1.6,1.43,1.59,1.54,1.51,1.33,1.31,1.41,1.35,1.22,0,0,0,0.03,0,0.11,0,0,0,0,0,0.04,0.06,0.05,0.13,0,0.12,0.07,0.04,0,0,0,0,0,South America,NA,South America,1 to < 2,4
12318,COL,Colombia,Valle del Cauca,Santiago de Cali,2469976,5,20,10.53,9.51,11.67,14.3,13.85,14.01,14.07,14.19,13.65,14.22,13.86,14.09,15.22,14.39,14.77,14.63,14.82,15.36,14.53,14.22,13.98,13.91,13.96,12.8,0.54,0.44,0.65,0.91,0.87,0.88,0.89,0.9,0.85,0.9,0.87,0.89,1,0.92,0.96,0.94,0.96,1.02,0.93,0.9,0.88,0.87,0.88,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,South America,NA,South America,0.5 to < 1,3
11364,COL,Colombia,Atlántico,Barranquilla,1223588,5,20,8.17,7.48,7.98,10.12,8.65,11.22,8.22,9.52,9.02,9.14,8.83,8.79,10.67,9.81,9.08,8.74,9.24,9.39,10.29,9.92,9.34,10.07,10,8.51,0.31,0.24,0.29,0.5,0.36,0.61,0.32,0.44,0.39,0.41,0.38,0.37,0.56,0.47,0.4,0.37,0.42,0.43,0.52,0.48,0.43,0.5,0.49,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,South America,NA,South America,0.1 to < 0.5,2
11395,COL,Colombia,Bolívar,Cartagena de Indias,1035637,5,20,9.32,8.21,8.68,11.07,9.85,12.34,9.35,10.37,10.16,10.28,9.93,10.61,12.29,11.71,10.85,10.26,10.77,10.36,11.92,11.48,11.13,11.47,10.67,9.68,0.42,0.31,0.36,0.59,0.48,0.72,0.43,0.53,0.51,0.52,0.48,0.55,0.71,0.66,0.57,0.52,0.57,0.52,0.68,0.63,0.6,0.63,0.56,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,South America,NA,South America,0.1 to < 0.5,2
11382,COL,Colombia,Atlántico,Soledad,707233,5,20,7.98,7.28,8.04,10.37,8.9,11.59,8.6,10.09,9.85,9.97,9.73,9.71,11.75,10.79,9.94,9.49,9.89,10.11,11.22,11.05,10.3,11.02,11.11,9.58,0.29,0.22,0.3,0.53,0.38,0.65,0.35,0.5,0.47,0.49,0.46,0.46,0.66,0.57,0.48,0.44,0.48,0.5,0.61,0.59,0.52,0.59,0.6,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,South America,NA,South America,0.1 to < 0.5,2
12076,COL,Colombia,Norte de Santander,San José de Cúcuta,668952,5,20,11.22,10.25,14.78,20.6,18.1,24.39,18.7,19.46,19.59,18.2,18.95,18.18,20.57,20.87,19.46,19.2,19.45,19.04,21,18.9,17.99,19.99,19.59,15.17,0.61,0.51,0.96,1.53,1.28,1.9,1.34,1.42,1.43,1.29,1.37,1.29,1.53,1.55,1.42,1.39,1.42,1.38,1.57,1.36,1.27,1.47,1.43,1,0,0,0,0.06,0,0.43,0,0,0,0,0,0,0.06,0.08,0,0,0,0,0.1,0,0,0,0,0,South America,NA,South America,1 to < 2,4
12261,COL,Colombia,Tolima,Ibagué,573474,5,20,9.84,8.41,10.62,15.84,15.14,15.7,14.69,15.4,15.04,15.29,14.45,15.13,15.57,15.77,15.76,15.41,15.77,15.38,14.69,14.58,13,13.59,13.98,12.34,0.47,0.33,0.55,1.06,0.99,1.05,0.95,1.02,0.98,1.01,0.93,0.99,1.04,1.06,1.05,1.02,1.06,1.02,0.95,0.94,0.78,0.84,0.88,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,South America,NA,South America,0.5 to < 1,3
11827,COL,Colombia,Cundinamarca,Soacha,566859,5,20,12.43,10.31,15.33,21.33,20.51,21.33,20.56,20.35,20.36,19.45,19.71,20.4,21.57,20.98,22.24,22.97,22.1,19.92,19.43,20.42,18.7,19.53,20.53,17.29,0.73,0.52,1.01,1.6,1.52,1.6,1.52,1.5,1.51,1.42,1.44,1.51,1.62,1.57,1.69,1.76,1.68,1.46,1.41,1.51,1.34,1.42,1.52,1.2,0,0,0,0.13,0.05,0.13,0.05,0.03,0.04,0,0,0.04,0.15,0.1,0.22,0.29,0.21,0,0,0.04,0,0,0.05,0,South America,NA,South America,1 to < 2,4
11979,COL,Colombia,Meta,Villavicencio,532641,5,20,13.01,8.84,13.47,17.28,14.98,17.04,15.5,15.97,15.3,15.06,15.04,14.45,16.67,15.35,16.29,16.1,17.26,15.41,16.54,16.29,15.36,17.18,19.21,13.91,0.78,0.38,0.83,1.2,0.98,1.18,1.03,1.08,1.01,0.99,0.98,0.93,1.14,1.01,1.11,1.09,1.2,1.02,1.13,1.11,1.02,1.19,1.39,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,South America,NA,South America,0.5 to < 1,3
