country,cause_of_death,llpp_who_2021,lyl_bucket,order_lyl_bucket
Colombia,Cardiovascular diseases,4.417232649,4 to < 5,7
Colombia,Neoplasms,2.657065493,2 to < 3,5
Colombia,High systolic blood pressure,2.132196481,2 to < 3,5
Colombia,High fasting plasma glucose,1.761745845,1 to < 2,4
Colombia,Dietary risks,1.683237537,1 to < 2,4
Colombia,Self-harm and interpersonal violence,1.304848487,1 to < 2,4
Colombia,High body-mass index,1.300480938,1 to < 2,4
Colombia,Tobacco,1.002255132,1 to < 2,4
Colombia,High LDL cholesterol,0.975556207,0.5 to < 1,3
Colombia,Kidney dysfunction,0.879983382,0.5 to < 1,3
Colombia,Chronic respiratory diseases,0.872280547,0.5 to < 1,3
Colombia,Neurological disorders,0.846048876,0.5 to < 1,3
Colombia,Diabetes and kidney diseases,0.816875855,0.5 to < 1,3
Colombia,PM2.5 relative to WHO guideline,0.8,0.5 to < 1,3
Colombia,Digestive diseases,0.572820137,0.5 to < 1,3
