years,pop_weighted_avg_pm2.5
1998,16.1719607566108
1999,15.429533749458505
2000,15.134926021062437
2001,15.428760308890267
2002,16.118491558225195
2003,16.248393205893038
2004,14.504352936410504
2005,15.262722791066366
2006,15.865695856408049
2007,14.487271720504731
2008,14.042189678108734
2009,14.983520529675154
2010,14.95832694489157
2011,15.796504050131084
2012,14.962302386372023
2013,14.38991730794624
2014,13.6484093482886
2015,13.637613822865818
2016,13.069170048555096
2017,13.530147758348713
2018,12.844483356518314
2019,11.907630348568237
2020,11.48558311464245
2021,12.377976010378246
