years,region,pop_weighted_avg_pm2.5
1998,National Average,27.955500693304028
1999,National Average,21.175802282137017
2000,National Average,28.74846694507622
2001,National Average,26.186912104127018
2002,National Average,25.43153796157755
2003,National Average,30.747517255027454
2004,National Average,24.11458415635234
2005,National Average,30.660851393782153
2006,National Average,27.198563084230965
2007,National Average,28.685988434455663
2008,National Average,27.465745710527884
2009,National Average,28.596461620561033
2010,National Average,28.152471464093423
2011,National Average,29.312821085153686
2012,National Average,28.624009175138003
2013,National Average,30.2130371411108
2014,National Average,27.991323274932526
2015,National Average,27.219662755613303
2016,National Average,28.46539829312346
2017,National Average,28.17280889867832
2018,National Average,25.736597080176125
2019,National Average,27.48144829088533
2020,National Average,29.62330790634365
2021,National Average,29.04855662151461
