Municipality,Population (Hundred thousands),Annual Average 2021 PM2.5 Concentration (µg/m³),Life Expectancy Gains from reducing PM2.5 from 2021 concentration to WHO PM2.5 guideline of 5 µg/m,Life Expectancy Gains from reducing PM2.5 from 2021 concentration by 30 percent
Mixco,5.5,50.3,4.4,1.5
Villa Nueva,5.3,28.1,2.3,0.8
San Pedro Carchá,2.7,25.6,2,0.8
San Juan Sacatepéquez,2.5,38.5,3.3,1.1
Cobán,2.2,27,2.2,0.8
Quetzaltenango,2,26.6,2.1,0.8
Jalapa,1.9,31.3,2.6,0.9
Escuintla,1.8,41.6,3.6,1.2
Petapa,1.7,24.4,1.9,0.7
Jutiapa,1.7,27,2.2,0.8
Chichicastenango,1.6,26.3,2.1,0.8
Chisec,1.5,22.5,1.7,0.7
Santa Lucía Cotzumalguapa,1.3,39,3.3,1.1
Panzós,1.3,32.2,2.7,0.9
Villa Canales,1.3,30.5,2.5,0.9
Chiquimula,1.3,32.2,2.7,0.9
Amatitlán,1.3,31.1,2.6,0.9
Santa Cruz Barillas,1.3,22.3,1.7,0.7
Chinautla,1.3,24.2,1.9,0.7
Coatepeque,1.3,26.5,2.1,0.8
La Libertad,1.3,12.3,0.7,0.4
Totonicapán,1.3,26.4,2.1,0.8
Momostenango,1.3,20.4,1.5,0.6
Sayaxché,1.2,15.8,1.1,0.5
Chimaltenango,1.2,43.5,3.8,1.3
