country,cause_of_death,llpp_who_2021,lyl_bucket,order_lyl_bucket
Indonesia,Cardiovascular diseases,6.741533996,>= 6,9
Indonesia,High systolic blood pressure,4.180601953,4 to < 5,7
Indonesia,Tobacco,2.277145595,2 to < 3,5
Indonesia,Dietary risks,2.139951453,2 to < 3,5
Indonesia,High fasting plasma glucose,1.987514564,1 to < 2,4
Indonesia,Neoplasms,1.767427187,1 to < 2,4
Indonesia,High body-mass index,1.394019423,1 to < 2,4
Indonesia,PM2.5 relative to WHO guideline,1.3,1 to < 2,4
Indonesia,Diabetes and kidney diseases,1.106310681,1 to < 2,4
Indonesia,Respiratory infections and tuberculosis,1.026621355,1 to < 2,4
