years,region,pop_weighted_avg_pm2.5
1998,National Average,13.404114464325609
1999,National Average,13.833892691008241
2000,National Average,14.86238766321603
2001,National Average,16.039979903479107
2002,National Average,19.513162527906665
2003,National Average,17.050210188088098
2004,National Average,19.343773346406778
2005,National Average,18.769788355867135
2006,National Average,22.897873592327674
2007,National Average,19.24598500281245
2008,National Average,18.1539155055627
2009,National Average,20.63681643897115
2010,National Average,18.88338835158158
2011,National Average,20.365395021246076
2012,National Average,20.61398237251218
2013,National Average,19.79100565429369
2014,National Average,23.608267375740834
2015,National Average,25.075197481393314
2016,National Average,19.75854820674421
2017,National Average,17.356052673708067
2018,National Average,19.311344756280636
2019,National Average,22.402317104460302
2020,National Average,17.830349729657762
2021,National Average,18.760978870452814
