Regency/City,Population (millions),Annual Average 2021 PM2.5 Concentration (µg/m³),Life Expectancy Gains from reducing PM2.5 from 2021 concentration to WHO PM2.5 guideline of 5 µg/m,Life Expectancy Gains from reducing PM2.5 from 2021 concentration to National PM2.5 guideline of 15 µg/m³,Life Expectancy Gains from reducing PM2.5 from 2021 concentration by 30 percent
Bogor,5.5,30.4,2.5,1.5,0.9
Bandung,3.7,28.9,2.3,1.4,0.8
Tangerang,3.3,27.4,2.2,1.2,0.8
Bekasi,3.2,29.4,2.4,1.4,0.9
Jakarta Timur,3.1,31.4,2.6,1.6,0.9
Surabaya,2.9,21.4,1.6,0.6,0.6
Sukabumi,2.8,14.8,1,-0,0.4
Malang,2.7,18.6,1.3,0.4,0.5
Garut,2.6,17.8,1.3,0.3,0.5
Kota Bekasi,2.6,30.7,2.5,1.5,0.9
Jember,2.6,15.7,1,0.1,0.5
Cianjur,2.5,19.9,1.5,0.5,0.6
Kota Bandung,2.5,28.6,2.3,1.3,0.8
Jakarta Barat,2.5,28.3,2.3,1.3,0.8
Kota Medan,2.5,33.9,2.8,1.9,1
Karawang,2.4,26.1,2.1,1.1,0.8
Cirebon,2.4,21.3,1.6,0.6,0.6
Jakarta Selatan,2.3,32.4,2.7,1.7,1
Depok,2.1,33.8,2.8,1.8,1
Sidoarjo,2.1,25.4,2,1,0.7
Brebes,2,19.3,1.4,0.4,0.6
Cilacap,2,13.3,0.8,0,0.4
Deli Serdang,2,34.4,2.9,1.9,1
Kota Tangerang,1.9,29.8,2.4,1.5,0.9
Tasikmalaya,1.9,15,1,0,0.4
