name_1,tot_pop,avg_pm2.5_2021,le_gain,llpp_who_2021,lyl_bucket,order_lyl_bucket
Lagos,21062761,19.350136405193982,1.4063133677090103,1.4063069110455177,1 to < 2,4
Kano,13769309,23.67719201522749,1.8303648174922942,1.830803010521443,1 to < 2,4
Kaduna,8775937,31.162856682995788,2.5639599549335874,2.5638979416101098,2 to < 3,5
Katsina,8431989,20.42354058573843,1.5115069774023662,1.5113255970803567,1 to < 2,4
Oyo,8293186,19.833677056079534,1.4537003514957945,1.452290775824876,1 to < 2,4
Rivers,7614262,28.01535897503921,2.2555051795538428,2.2544879753284035,2 to < 3,5
Bauchi,7440591,22.211539403254392,1.6867308615189305,1.6880885322147126,1 to < 2,4
Borno,6586992,11.112998171244174,0.5990738207819291,0.5984607860461953,0.5 to < 1,3
Jigawa,6294469,19.60498492724327,1.4312885228698404,1.4314618659651832,1 to < 2,4
Benue,6278831,26.27958619367204,2.08539944697986,2.0862919546648095,2 to < 3,5
