country,cause_of_death,llpp_who_2021,lyl_bucket,order_lyl_bucket
Nigeria,Child and maternal malnutrition,3.76779784,3 to < 4,6
Nigeria,Cardiovascular diseases,3.307745832,3 to < 4,6
Nigeria,Respiratory infections and tuberculosis,2.522244356,2 to < 3,5
Nigeria,Neglected tropical diseases and malaria,2.362354269,2 to < 3,5
Nigeria,Enteric infections,2.276906771,2 to < 3,5
Nigeria,"Unsafe water, sanitation, and handwashing",2.226894014,2 to < 3,5
Nigeria,High systolic blood pressure,2.077487735,2 to < 3,5
Nigeria,Maternal and neonatal disorders,1.905621197,1 to < 2,4
Nigeria,PM2.5 relative to WHO guideline,1.8,1 to < 2,4
Nigeria,Household air pollution from solid fuels,1.4408263,1 to < 2,4
