years,region,pop_weighted_avg_pm2.5
1998,National Average,21.14327598117482
1999,National Average,18.495869436011418
2000,National Average,20.824941399109623
2001,National Average,21.687328113820634
2002,National Average,21.462184328705526
2003,National Average,21.414767859498628
2004,National Average,22.599390666501687
2005,National Average,22.547933370503362
2006,National Average,21.374467063279223
2007,National Average,22.171706007731967
2008,National Average,24.007868562534203
2009,National Average,22.573425236466946
2010,National Average,23.79212148432866
2011,National Average,22.277576704971178
2012,National Average,22.26012854098304
2013,National Average,20.77233637451733
2014,National Average,20.6190814518349
2015,National Average,20.629087323536236
2016,National Average,23.33946353743597
2017,National Average,23.084036377385065
2018,National Average,23.628688959171797
2019,National Average,22.845168050404173
2020,National Average,23.557577579290097
2021,National Average,22.9981363513275
