Local Government Area,Population (Millions),Annual Average 2021 PM2.5 Concentration (µg/m³),Life Expectancy Gains from reducing PM2.5 from 2021 concentration to WHO PM2.5 guideline of 5 µg/m,Life Expectancy Gains from reducing PM2.5 from 2021 concentration by 30 percent
Alimosho,2.6,19,1.4,0.6
Abuja,2.3,28.9,2.3,0.8
Ikorodu,1.8,21.4,1.6,0.6
Ado Odo/Ota,1.7,20.1,1.5,0.6
Amuwo Odofin,1.6,18.9,1.4,0.6
Surulere,1.6,18.8,1.4,0.6
Eti-Osa,1.4,19.7,1.4,0.6
Apapa,1.4,18.8,1.4,0.6
Ungogo,1.4,23.1,1.8,0.7
Ikeja,1.4,18.6,1.3,0.5
Ojo,1.3,20.8,1.5,0.6
Obio/Akpor,1.2,28.5,2.3,0.8
Mainland,1.1,18.9,1.4,0.6
Lagos Island,1,19.1,1.4,0.6
Kosofe,1,19.4,1.4,0.6
Bwari,1,32.3,2.7,0.9
Akko,1,21.6,1.6,0.6
Konduga,0.9,10,0.5,0.3
Gezawa,0.9,23.1,1.8,0.7
Oshodi/Isolo,0.9,18.5,1.3,0.5
Igabi,0.9,31.8,2.6,0.9
Bauchi,0.9,24.9,2,0.7
Shomolu,0.8,18.6,1.3,0.5
Port Harcourt,0.8,26.5,2.1,0.8
Ifo,0.8,20.3,1.5,0.6
