State,District,Population (in millions),Annual Average PM2.5 in 2021 (in µg/m³),Life Expectancy Gains from reducing PM2.5 concentrations from 2021 Concentration to WHO Guideline of 5 µg/m³,Life Expectancy Gains from reducing PM2.5 concentrations from 2021 Concentration to National Guideline of 40 µg/m³
Bihar,Patna,6.7,93.4,8.7,5.2
Bihar,Purba Champaran,5.8,94.8,8.8,5.4
Bihar,Muzaffarpur,5.5,98.3,9.2,5.7
Bihar,Madhubani,5.2,82.3,7.6,4.2
Chandigarh,Chandigarh,1.2,48.6,4.3,0.8
Haryana,Faridabad,2.4,115.6,10.8,7.4
Haryana,Hisar,1.9,83.6,7.7,4.3
Haryana,Gurugram,1.7,119.5,11.2,7.8
Haryana,Karnal,1.7,80.9,7.4,4
NCT of Delhi,NCT of Delhi,18,126.5,11.9,8.5
Punjab,Ludhiana,3.7,74.4,6.8,3.4
Punjab,Amritsar,2.6,78.6,7.2,3.8
Punjab,Jalandhar,2.4,70.8,6.4,3
Punjab,Patiala,2,65.7,5.9,2.5
Uttar Pradesh,Prayagraj,5.4,94.8,8.8,5.4
Uttar Pradesh,Lucknow,5.2,104.4,9.7,6.3
Uttar Pradesh,Kanpur Nagar,5.1,104.2,9.7,6.3
Uttar Pradesh,Jaunpur,5.1,107.9,10.1,6.7
West Bengal,North 24 Parganas,11.1,62.2,5.6,2.2
West Bengal,South 24 Parganas,8.8,59.3,5.3,1.9
West Bengal,Barddhaman,8.3,73.2,6.7,3.3
West Bengal,Murshidabad,7.7,63.9,5.8,2.3
