years,region,pop_weighted_avg_pm2.5
1998,National Average,26.18473172737038
1999,National Average,24.892509896195012
2000,National Average,23.072151789992446
2001,National Average,25.270885402529565
2002,National Average,26.945979718654353
2003,National Average,26.954368319365674
2004,National Average,23.14111628723314
2005,National Average,24.38011875355392
2006,National Average,26.13570495845869
2007,National Average,20.599526619043395
2008,National Average,20.355580223276892
2009,National Average,23.064606157213714
2010,National Average,26.861070004570873
2011,National Average,24.29788944796446
2012,National Average,22.21169606353902
2013,National Average,21.608086797655687
2014,National Average,21.557426814491986
2015,National Average,20.078258050844205
2016,National Average,19.69380170033486
2017,National Average,20.0143582538039
2018,National Average,19.53761252983312
2019,National Average,16.043815374162172
2020,National Average,15.10759509940512
2021,National Average,17.94931982464899
