years,region,pop_weighted_avg_pm2.5
1998,National Average,18.66801667870111
1999,National Average,19.05174690309945
2000,National Average,22.278839237133305
2001,National Average,21.2457850624568
2002,National Average,19.38225560190829
2003,National Average,26.445837723115073
2004,National Average,21.874298471829775
2005,National Average,22.42751200654064
2006,National Average,24.001252205585562
2007,National Average,24.02281467951725
2008,National Average,23.73344539988869
2009,National Average,22.97665241083807
2010,National Average,21.187601160206743
2011,National Average,21.825876331532776
2012,National Average,22.25147072242793
2013,National Average,23.636629216192322
2014,National Average,24.106970626895173
2015,National Average,23.294729638018158
2016,National Average,22.8218028281663
2017,National Average,20.986704425925907
2018,National Average,20.88033246994121
2019,National Average,21.6825859527451
2020,National Average,20.493919747544627
2021,National Average,20.359988393343578
