name_1,tot_pop,avg_pm2.5_2021,le_gain,llpp_who_2021,lyl_bucket,order_lyl_bucket
Bangkok Metropolis,9083654,20.5622222874187,1.5250977841670326,1.5252676477990024,1 to < 2,4
Nakhon Ratchasima,2544210,26.440975222171126,2.1012155717727703,2.1019553574587,2 to < 3,5
Samut Prakan,2259641,20.806540078711617,1.5490409277137385,1.549472363087765,1 to < 2,4
Khon Kaen,1762994,24.478194157212105,1.9088630274067864,1.9080650075950343,1 to < 2,4
Ubon Ratchathani,1732666,25.07934577697029,1.9677758861430883,1.9688604901348556,1 to < 2,4
Chon Buri,1731678,17.24244040751225,1.1997591599362007,1.1986728248554293,1 to < 2,4
Chiang Mai,1713964,30.032405499765456,2.453175738977015,2.4541054187835916,2 to < 3,5
Pathum Thani,1591815,22.168607036621715,1.682523489588928,1.6808151072831956,1 to < 2,4
Nakhon Si Thammarat,1585457,19.79977132145495,1.4503775895025852,1.449557130846185,1 to < 2,4
Songkhla,1563414,18.248908120305945,1.2983929957899827,1.2969281137305921,1 to < 2,4
