state_ut,city,district,district_option2,other_1,comments
Andhra Pradesh,Anantapur,Anantapur,,,
Andhra Pradesh,Chitoor,Chittoor,,,
Andhra Pradesh,Eluru,West Godavari,Krishna,,
Andhra Pradesh,Guntur,Guntur,,,
Andhra Pradesh,Kadapa,Y.S.R.,,,
Andhra Pradesh,Kurnool,Kurnool,,,
Andhra Pradesh,Nellore,Nellore,,,
Andhra Pradesh,Ongole,Prakasam,,,
Andhra Pradesh,Rajahmundry,East Godavari,,,
Andhra Pradesh,Srikakulam,Srikakulam,,,
Andhra Pradesh,Vijayawada,Krishna,Guntur,NTR,
Andhra Pradesh,Vishakhapatnam,Visakhapatnam,,,
Andhra Pradesh,Vizianagaram,Vizianagaram,,,
Assam,Guwahati,Kamrup Metropolitan,,,There is also a Kamrup in the dataset. Not sure if that should be included.
Assam,Nagaon,Nagaon,,,
Assam,Nalbari,Nalbari,,,
Assam,Sibsagar,Sivasagar,,,
Assam,Silchar,Cachar,,,
Bihar,Gaya,Gaya,,,
Bihar,Muzaffarpur,Muzaffarpur,,,
Bihar,Patna,Patna,,,
Chandigarh,Chandigarh,Chandigarh,,,
Chhattisgarh,Bhilai,Durg,,,
Chhattisgarh,Korba,Korba,,,
Chhattisgarh,Raipur,Raipur,,,
NCT of Delhi,NCT of Delhi,NCT of Delhi,,,
Gujarat,Ahmedabad,Ahmadabad,,,
Gujarat,Surat,Surat,,,
Gujarat,Vadodara,Vadodara,,,
Himachal Pradesh,Baddi,Solan,,,
Himachal Pradesh,Damtal,Kangra,,,
Himachal Pradesh,Kala Amb,Sirmaur,,,
Himachal Pradesh,Nalagarh,Solan,,,
Himachal Pradesh,Paonta Sahib,Sirmaur,,,
Himachal Pradesh,Parwanoo,Solan,,,
Himachal Pradesh,Sunder Nagar,Mandi,,,
Jammu & Kashmir,Jammu,Jammu,,,
Jammu & Kashmir,Srinagar,Srinagar,,,
Jharkhand,Dhanbad,Dhanbad,,,
Karnataka,Bengaluru,Bangalore,,,There is Bangalore Rural district in the dataset. Maybe what we have is Bangalore Urban. But I am unsure as to whether both of them are included in the NCAP.
Karnataka,Devanagere,Davanagere,,,
Karnataka,Gulburga,Kalaburagi,,,
Karnataka,Hubli-Dharwad,Dharwad,,,
Madhya Pradesh,Bhopal,Bhopal,,,
Madhya Pradesh,Dewas,Dewas,,,
Madhya Pradesh,Gwalior,Gwalior,,,
Madhya Pradesh,Indore,Indore,,,
Madhya Pradesh,Sagar,Sagar,,,
Madhya Pradesh,Ujjain,Ujjain,,,
Maharashtra,Akola,Akola,,,
