Country,Region,Population (Hundred thousands),Annual Average 2022 PM2.5 Concentration (µg/m³),Life Expectancy Gains from reducing PM2.5 from 2022 concentration to WHO PM2.5 guideline of 5 µg/m,Life Expectancy Gains from reducing PM2.5 from 2022 concentration by 30 percent
Brunei,Berakas A,0.5,6.4,0.1,0.2
Brunei,Berakas B,0.5,6.4,0.1,0.2
Brunei,Kianggeh,0.5,6.6,0.2,0.2
Brunei,Gadong 'B',0.5,6.5,0.1,0.2
Brunei,Kuala Belait,0.4,6,0.1,0.2
Cambodia,Chamkar Mon,3.2,18.6,1.3,0.5
Cambodia,Mean Chey,3.2,18.9,1.4,0.6
Cambodia,Tuol Kouk,3,18.5,1.3,0.5
Cambodia,Siem Reap,2.8,16.4,1.1,0.5
Cambodia,Pur SenChey,2.4,19.2,1.4,0.6
Indonesia,Bogor,55.7,28.3,2.3,0.8
Indonesia,Bandung,37.1,29.6,2.4,0.9
Indonesia,Tangerang,33.2,26.4,2.1,0.8
Indonesia,Bekasi,31.9,29.3,2.4,0.9
Indonesia,Jakarta Timur,31.2,29.4,2.4,0.9
Laos,Xaythany,1.9,25.9,2,0.8
Laos,Chanthabuly,1.6,26.7,2.1,0.8
Laos,Khanthabouly,1.5,19.1,1.4,0.6
Laos,Songkhone,1.4,19.1,1.4,0.6
Laos,Sikhottabong,1.3,26.1,2.1,0.8
Malaysia,Kuala Lumpur,24.1,16.3,1.1,0.5
Malaysia,Petaling,17.9,16.2,1.1,0.5
Malaysia,Johor Baharu,16,13.9,0.9,0.4
Malaysia,Hulu Langat,14.5,17.3,1.2,0.5
Malaysia,Klang,10.7,15.6,1,0.5
Myanmar,Yangon (North),30.9,27.6,2.2,0.8
Myanmar,Yangon (East),27.8,28.4,2.3,0.8
Myanmar,Mandalay,19.6,39.4,3.4,1.2
Myanmar,Bago,19.4,28.4,2.3,0.8
Myanmar,Pathein,18.7,23.9,1.9,0.7
Philippines,Quezon City,30.1,29,2.4,0.9
Philippines,Davao City,18.6,19.9,1.5,0.6
Philippines,Manila,17.1,27.6,2.2,0.8
Philippines,Kalookan City,17,26.7,2.1,0.8
Philippines,Cebu City,10.2,15.8,1.1,0.5
Singapore,NA,13.6,14.1,0.9,0.4
Singapore,NA,13.5,13.9,0.9,0.4
Singapore,NA,13.4,13.7,0.9,0.4
Singapore,NA,10,13.6,0.8,0.4
Singapore,NA,8.4,14.2,0.9,0.4
Thailand,Muang Samut Prakan,9.6,18.3,1.3,0.5
Thailand,Muang Nonthaburi,6.1,18.5,1.3,0.5
Thailand,Muang Samut Sakhon,4.8,17.8,1.3,0.5
Thailand,Phra Pra Daeng,4.4,19.2,1.4,0.6
Thailand,Muang Nakhon Ratchasima,4.3,29.7,2.4,0.9
Timor-Leste,Dili Barat,2,12.2,0.7,0.4
Timor-Leste,Dili Timur,1.1,11.7,0.7,0.3
Timor-Leste,Baucau,0.6,9,0.4,0.3
Timor-Leste,Suai Kota,0.5,10.6,0.5,0.3
Timor-Leste,Hatólia,0.4,11.2,0.6,0.3
Vietnam,Biên Hòa,10.7,27.1,2.2,0.8
Vietnam,Bình Tân,7.8,27.7,2.2,0.8
Vietnam,Gò Vấp,7.2,29.4,2.4,0.9
Vietnam,Thuận An,6.7,28.4,2.3,0.8
Vietnam,Bình Thạnh,6.2,28.7,2.3,0.8
