District,Population (Millions),Annual Average 2022 PM2.5 Concentration (µg/m³),Life Expectancy Gains from reducing PM2.5 from 2022 concentration to WHO PM2.5 guideline of 5 µg/m,Life Expectancy Gains from reducing PM2.5 from 2022 concentration by 30 percent
Kathmandu,2,31.3,2.6,0.9
Morang,1.1,47.5,4.2,1.4
Rupandehi,1,54.6,4.9,1.6
Jhapa,0.9,47,4.1,1.4
Kailali,0.9,40.5,3.5,1.2
Sarlahi,0.9,56.2,5,1.7
Dhanusha,0.9,57.1,5.1,1.7
Sunsari,0.9,48.5,4.3,1.4
Bara,0.8,58,5.2,1.7
Rautahat,0.8,59.4,5.3,1.7
Siraha,0.7,54.6,4.9,1.6
Saptari,0.7,52.1,4.6,1.5
Mahottari,0.7,58.7,5.3,1.7
Parsa,0.7,58.2,5.2,1.7
Chitawan,0.7,40.6,3.5,1.2
Kapilbastu,0.7,53.9,4.8,1.6
Dang,0.6,33.8,2.8,1
Banke,0.6,46.8,4.1,1.4
Kaski,0.6,28.7,2.3,0.8
Kanchanpur,0.5,40.2,3.4,1.2
Lalitpur,0.5,28.4,2.3,0.8
Bardiya,0.5,44.8,3.9,1.3
Makawanpur,0.5,31.7,2.6,0.9
Kabhrepalanchok,0.4,28.2,2.3,0.8
Surkhet,0.4,26.9,2.1,0.8
