State,Population (millions),"PM2.5 Concentration, 1970 (µg/m³)","PM2.5 Concentration, 2022 (µg/m³)","Years of Life Expectancy Gained due to Decrease in PM2.5, 1970-2022",Years of Life Expectancy Gain through Reducing PM2.5 from 2022 Concentration to WHO Guideline
Alabama,5.1,38.6,7.3,3.1,0.2
Alaska,0.7,9.2,4.4,0.5,0
Arizona,7.5,15.8,6.1,1,0.1
Arkansas,3.1,NA,7.3,NA,0.2
California,39.4,21,8.4,1.2,0.3
Colorado,5.9,14,5.1,0.9,0
Connecticut,3.6,19.6,6.2,1.3,0.1
Delaware,1,35.8,6.5,2.9,0.1
District of Columbia,0.9,39.5,7,3.2,0.2
Florida,22.2,12.5,6.1,0.6,0.1
Georgia,11.1,NA,7.5,NA,0.2
Hawaii,1.4,4.9,2.2,0.3,0
Idaho,2,17.9,6.7,1.1,0.2
Illinois,12.7,26.9,8.3,1.8,0.3
Indiana,6.9,35.1,8.2,2.6,0.3
Iowa,3.2,20.8,6.6,1.4,0.2
Kansas,3,22.7,6.9,1.5,0.2
Kentucky,4.6,46.5,7.3,3.8,0.2
Louisiana,4.6,28.6,7.6,2.1,0.3
Maine,1.4,7.4,4.4,0.3,0
Maryland,6,31.9,6.7,2.5,0.2
Massachusetts,7,21.4,6.1,1.5,0.1
Michigan,10.1,29.6,7.4,2.2,0.2
Minnesota,5.8,13.9,5.9,0.8,0.1
Mississippi,3,NA,7.4,NA,0.2
Missouri,6.3,23.7,7.2,1.6,0.2
Montana,1.1,19.4,5.7,1.3,0.1
Nebraska,2,NA,5.7,NA,0.1
Nevada,3.2,9.4,5.3,0.4,0
New Hampshire,1.4,18.6,5.5,1.3,0
New Jersey,9.3,24.9,6.4,1.8,0.1
New Mexico,2.1,8.9,4.9,0.4,0
New York,19.7,28.2,6.5,2.1,0.1
North Carolina,10.8,29,6.7,2.2,0.2
North Dakota,0.8,12.9,5,0.8,0
Ohio,11.9,31.5,7.5,2.4,0.2
Oklahoma,4.1,19,7.1,1.2,0.2
Oregon,4.3,15.6,6,0.9,0.1
Pennsylvania,13.1,34.3,7.4,2.6,0.2
Rhode Island,1.1,22.9,6.2,1.6,0.1
South Carolina,5.3,24,6.6,1.7,0.2
South Dakota,0.9,NA,5.2,NA,0
Tennessee,7.1,35.2,7.2,2.7,0.2
Texas,30.4,17.8,6.9,1.1,0.2
Utah,3.4,15.5,6.2,0.9,0.1
Vermont,0.7,22.4,5.2,1.7,0
Virginia,8.7,28.2,6.3,2.1,0.1
Washington,7.8,12.1,5.9,0.6,0.1
West Virginia,1.8,33.4,6.5,2.6,0.1
Wisconsin,5.9,23.7,6.7,1.7,0.2
Wyoming,0.6,NA,4.7,NA,0
