Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Chennai,PM2.5 - Principal,2017-01-01 01:00 AM,2017,01,01,01,95.2,171,Unhealthy,117.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2017-01-01 02:00 AM,2017,01,01,02,88.6,168,Unhealthy,82.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2017-01-01 03:00 AM,2017,01,01,03,83.8,166,Unhealthy,79.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2017-01-01 04:00 AM,2017,01,01,04,85.9,167,Unhealthy,88.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2017-01-01 05:00 AM,2017,01,01,05,81.4,164,Unhealthy,77.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2017-01-01 06:00 AM,2017,01,01,06,77.7,162,Unhealthy,74.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2017-01-01 07:00 AM,2017,01,01,07,82.3,165,Unhealthy,87.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2017-01-01 08:00 AM,2017,01,01,08,84.1,166,Unhealthy,86.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2017-01-01 09:00 AM,2017,01,01,09,84.5,166,Unhealthy,85.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2017-01-01 10:00 AM,2017,01,01,10,71.3,159,Unhealthy,58.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2017-01-01 11:00 AM,2017,01,01,11,53.1,144,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2017-01-01 12:00 PM,2017,01,01,12,36.0,102,Unhealthy for Sensitive Groups,19.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2017-01-01 01:00 PM,2017,01,01,13,28.0,84,Moderate,20.0,UG/M3,1 Hr,Valid
