Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Hyderabad,PM2.5 - Principal,2017-01-01 01:00 AM,2017,01,01,01,131.1,190,Unhealthy,138.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-01 02:00 AM,2017,01,01,02,132.1,191,Unhealthy,133.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-01 03:00 AM,2017,01,01,03,140.1,195,Unhealthy,148.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-01 04:00 AM,2017,01,01,04,139.1,194,Unhealthy,138.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-01 05:00 AM,2017,01,01,05,136.0,193,Unhealthy,133.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-01 06:00 AM,2017,01,01,06,138.4,194,Unhealthy,147.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-01 07:00 AM,2017,01,01,07,142.2,196,Unhealthy,155.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-01 08:00 AM,2017,01,01,08,149.0,199,Unhealthy,164.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-01 09:00 AM,2017,01,01,09,163.4,214,Very Unhealthy,185.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-01 10:00 AM,2017,01,01,10,153.2,204,Very Unhealthy,134.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-01 11:00 AM,2017,01,01,11,124.5,187,Unhealthy,95.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-01 12:00 PM,2017,01,01,12,98.8,173,Unhealthy,74.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-01 01:00 PM,2017,01,01,13,77.3,162,Unhealthy,56.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-01 02:00 PM,2017,01,01,14,65.6,156,Unhealthy,54.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-01 03:00 PM,2017,01,01,15,62.3,155,Unhealthy,59.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-01 04:00 PM,2017,01,01,16,55.1,149,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-01 05:00 PM,2017,01,01,17,53.5,145,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-01 06:00 PM,2017,01,01,18,54.2,147,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-01 07:00 PM,2017,01,01,19,61.1,154,Unhealthy,68.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-01 08:00 PM,2017,01,01,20,67.5,157,Unhealthy,74.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-01 09:00 PM,2017,01,01,21,68.7,158,Unhealthy,70.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-01 10:00 PM,2017,01,01,22,70.3,159,Unhealthy,72.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-01 11:00 PM,2017,01,01,23,70.3,159,Unhealthy,74.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-02 12:00 AM,2017,01,02,00,74.1,161,Unhealthy,79.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-02 01:00 AM,2017,01,02,01,76.0,162,Unhealthy,79.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-02 02:00 AM,2017,01,02,02,76.0,162,Unhealthy,76.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-02 03:00 AM,2017,01,02,03,76.8,162,Unhealthy,78.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-02 04:00 AM,2017,01,02,04,77.3,162,Unhealthy,79.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-02 05:00 AM,2017,01,02,05,78.9,163,Unhealthy,82.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-02 06:00 AM,2017,01,02,06,84.2,166,Unhealthy,97.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-02 07:00 AM,2017,01,02,07,95.2,171,Unhealthy,111.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-02 08:00 AM,2017,01,02,08,118.5,184,Unhealthy,138.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-02 09:00 AM,2017,01,02,09,100.1,174,Unhealthy,81.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-02 10:00 AM,2017,01,02,10,85.9,167,Unhealthy,71.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-02 11:00 AM,2017,01,02,11,79.6,163,Unhealthy,73.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-02 12:00 PM,2017,01,02,12,65.6,156,Unhealthy,52.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-02 01:00 PM,2017,01,02,13,56.8,152,Unhealthy,48.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-02 02:00 PM,2017,01,02,14,57.3,152,Unhealthy,58.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-02 03:00 PM,2017,01,02,15,58.1,152,Unhealthy,59.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-02 04:00 PM,2017,01,02,16,57.5,152,Unhealthy,57.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-02 05:00 PM,2017,01,02,17,55.2,150,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-02 06:00 PM,2017,01,02,18,62.6,155,Unhealthy,70.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-02 07:00 PM,2017,01,02,19,76.3,162,Unhealthy,90.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-02 08:00 PM,2017,01,02,20,87.6,168,Unhealthy,99.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-02 09:00 PM,2017,01,02,21,90.3,169,Unhealthy,93.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-02 10:00 PM,2017,01,02,22,98.1,173,Unhealthy,106.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-02 11:00 PM,2017,01,02,23,104.5,176,Unhealthy,111.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-03 12:00 AM,2017,01,03,00,101.8,175,Unhealthy,99.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-03 01:00 AM,2017,01,03,01,91.4,170,Unhealthy,81.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-03 02:00 AM,2017,01,03,02,91.2,169,Unhealthy,91.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-03 03:00 AM,2017,01,03,03,110.1,179,Unhealthy,129.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-03 04:00 AM,2017,01,03,04,101.5,175,Unhealthy,93.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-03 05:00 AM,2017,01,03,05,93.0,170,Unhealthy,83.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-03 06:00 AM,2017,01,03,06,104.4,176,Unhealthy,121.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-03 07:00 AM,2017,01,03,07,112.1,180,Unhealthy,125.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-03 08:00 AM,2017,01,03,08,144.9,197,Unhealthy,174.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-03 09:00 AM,2017,01,03,09,159.4,210,Very Unhealthy,174.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-03 10:00 AM,2017,01,03,10,185.7,236,Very Unhealthy,212.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-03 11:00 AM,2017,01,03,11,145.8,198,Unhealthy,106.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-03 12:00 PM,2017,01,03,12,121.4,185,Unhealthy,97.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-03 01:00 PM,2017,01,03,13,94.7,171,Unhealthy,68.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-03 02:00 PM,2017,01,03,14,80.3,164,Unhealthy,66.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-03 03:00 PM,2017,01,03,15,69.1,158,Unhealthy,58.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-03 04:00 PM,2017,01,03,16,62.5,155,Unhealthy,56.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-03 05:00 PM,2017,01,03,17,59.7,153,Unhealthy,57.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-03 06:00 PM,2017,01,03,18,57.8,152,Unhealthy,56.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-03 07:00 PM,2017,01,03,19,72.9,160,Unhealthy,88.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-03 08:00 PM,2017,01,03,20,90.9,169,Unhealthy,109.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-03 09:00 PM,2017,01,03,21,102.4,175,Unhealthy,114.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2017-01-03 10:00 PM,2017,01,03,22,93.2,170,Unhealthy,84.0,UG/M3,1 Hr,Valid
