Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Kolkata,PM2.5 - Principal,2020-01-01 02:00 AM,2020,01,01,02,297.3,347,Hazardous,321.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2020-01-01 03:00 AM,2020,01,01,03,288.9,339,Hazardous,281.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2020-01-01 04:00 AM,2020,01,01,04,253.6,304,Hazardous,219.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2020-01-01 05:00 AM,2020,01,01,05,206.5,256,Very Unhealthy,160.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2020-01-01 06:00 AM,2020,01,01,06,182.1,232,Very Unhealthy,158.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2020-01-01 07:00 AM,2020,01,01,07,179.0,229,Very Unhealthy,176.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2020-01-01 08:00 AM,2020,01,01,08,191.0,241,Very Unhealthy,203.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2020-01-01 09:00 AM,2020,01,01,09,223.0,273,Very Unhealthy,255.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2020-01-01 10:00 AM,2020,01,01,10,208.0,258,Very Unhealthy,193.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2020-01-01 11:00 AM,2020,01,01,11,176.9,227,Very Unhealthy,146.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2020-01-01 12:00 PM,2020,01,01,12,155.9,206,Very Unhealthy,135.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2020-01-01 01:00 PM,2020,01,01,13,132.4,191,Unhealthy,109.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2020-01-01 02:00 PM,2020,01,01,14,118.7,184,Unhealthy,105.0,UG/M3,1 Hr,Valid
