Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Mumbai,PM2.5 - Principal,2018-01-01 01:00 AM,2018,01,01,01,143.9,197,Unhealthy,156.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2018-01-01 02:00 AM,2018,01,01,02,150.2,200,Unhealthy,157.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2018-01-01 03:00 AM,2018,01,01,03,153.4,204,Very Unhealthy,157.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2018-01-01 04:00 AM,2018,01,01,04,153.5,204,Very Unhealthy,154.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2018-01-01 05:00 AM,2018,01,01,05,186.0,236,Very Unhealthy,218.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2018-01-01 06:00 AM,2018,01,01,06,202.0,252,Very Unhealthy,218.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2018-01-01 07:00 AM,2018,01,01,07,187.5,238,Very Unhealthy,173.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2018-01-01 08:00 AM,2018,01,01,08,189.7,240,Very Unhealthy,192.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2018-01-01 09:00 AM,2018,01,01,09,206.9,257,Very Unhealthy,224.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2018-01-01 10:00 AM,2018,01,01,10,230.9,281,Very Unhealthy,255.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2018-01-01 11:00 AM,2018,01,01,11,236.6,286,Very Unhealthy,255.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2018-01-01 12:00 PM,2018,01,01,12,223.4,273,Very Unhealthy,204.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2018-01-01 01:00 PM,2018,01,01,13,215.7,266,Very Unhealthy,204.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2018-01-01 02:00 PM,2018,01,01,14,169.3,220,Very Unhealthy,125.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2018-01-01 03:00 PM,2018,01,01,15,147.1,198,Unhealthy,125.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2018-01-01 04:00 PM,2018,01,01,16,116.0,182,Unhealthy,85.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2018-01-01 05:00 PM,2018,01,01,17,100.5,174,Unhealthy,85.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2018-01-01 06:00 PM,2018,01,01,18,89.7,169,Unhealthy,79.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2018-01-01 07:00 PM,2018,01,01,19,89.3,168,Unhealthy,89.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2018-01-01 08:00 PM,2018,01,01,20,99.1,174,Unhealthy,109.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2018-01-01 09:00 PM,2018,01,01,21,114.0,181,Unhealthy,129.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2018-01-01 10:00 PM,2018,01,01,22,121.5,185,Unhealthy,129.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2018-01-01 11:00 PM,2018,01,01,23,129.7,189,Unhealthy,138.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2018-01-02 12:00 AM,2018,01,02,00,133.8,191,Unhealthy,138.0,UG/M3,1 Hr,Valid
