years,region,pop_weighted_avg_pm2.5
1998,BTH,49.049002585267736
1999,BTH,47.233258532014695
2000,BTH,54.56914112160758
2001,BTH,53.63360045649982
2002,BTH,55.91963515793005
2003,BTH,70.68170478588736
2004,BTH,66.01330064515402
2005,BTH,69.25790735480014
2006,BTH,79.40262132773962
2007,BTH,80.10916920959552
2008,BTH,72.73291136289717
2009,BTH,73.97001675551813
2010,BTH,72.39849623300319
2011,BTH,80.29554548281709
2012,BTH,75.175225149784
2013,BTH,86.34760475425576
2014,BTH,83.57627639136105
2015,BTH,72.56474755556337
2016,BTH,67.61312135729804
2017,BTH,58.445415331322486
2018,BTH,50.0417755406697
2019,BTH,48.04089198121908
2020,BTH,44.22458662656082
1998,PRD,26.96446252547537
1999,PRD,25.5996116248512
2000,PRD,30.436311694591108
2001,PRD,32.72392649029484
2002,PRD,33.34959062048392
2003,PRD,36.81968740757799
2004,PRD,41.71680842287345
2005,PRD,39.7255259551595
2006,PRD,42.890729696911066
2007,PRD,43.97540824334048
2008,PRD,42.68799630049439
2009,PRD,40.691972424865696
2010,PRD,35.73575640463263
2011,PRD,43.18749451933291
2012,PRD,41.64445146815647
2013,PRD,41.07495097070926
2014,PRD,36.97487683109212
2015,PRD,31.22448917430713
2016,PRD,29.286939311928073
2017,PRD,31.540520743033976
2018,PRD,27.937537838428728
2019,PRD,26.09340310315238
2020,PRD,20.71831551768025
1998,YRD,35.55440764026726
1999,YRD,36.625625912671886
2000,YRD,38.05727573754948
2001,YRD,39.73763208475529
2002,YRD,45.17716850044889
2003,YRD,49.091851399207435
2004,YRD,46.716248953722484
2005,YRD,48.17790370361237
2006,YRD,48.107405389938826
2007,YRD,50.916553038856414
2008,YRD,52.38792603679499
2009,YRD,50.285486909675434
2010,YRD,46.16158783466229
2011,YRD,48.672344309071505
2012,YRD,40.05315948535046
2013,YRD,52.125098729541236
2014,YRD,52.37654370712861
2015,YRD,48.335623577856765
2016,YRD,43.05786073431972
2017,YRD,40.04371587903435
2018,YRD,37.03589325550854
2019,YRD,34.95918316891325
2020,YRD,31.216846845462797
1998,China,33.153794875343124
1999,China,32.22525229256963
2000,China,36.097527899218505
2001,China,37.37144068514126
2002,China,40.061229594589896
2003,China,45.940562348908976
2004,China,44.62003911096908
2005,China,47.69840707107972
2006,China,50.74895253529297
2007,China,51.056108985211836
2008,China,50.50423601542601
2009,China,48.270700640147055
2010,China,47.0206703548839
2011,China,52.793900426558125
2012,China,49.163006567005034
2013,China,52.36538923130686
2014,China,49.885428805673314
2015,China,46.525122457535765
2016,China,43.027520791191854
2017,China,40.51933027724766
2018,China,35.47594969605184
2019,China,34.805984529676024
2020,China,31.63254800773242
