Prefectures,Population (Millions),PM 2.5 concentration 2020 (µg/m³),Life Expectancy Gains From 2014 concentrations to 2020 concentrations,From 2020 Concentration to WHO Guideline of 5 µg/m³,From 2020 Concentration to the National Standard of 35 µg/m³
Chongqing,30,29,2.1,2.3,0
Shanghai,24.1,28.1,1.7,2.3,0
Beijing,20.5,37.9,4.1,3.2,0.3
Chengdu,13.9,35.4,2.1,3,0
Tianjin,13.6,47.4,3.2,4.2,1.2
Guangzhou,13.2,22.8,1.9,1.7,0
Baoding,11.6,46.2,5.4,4,1.1
Harbin,11.1,40.7,1.9,3.5,0.6
Suzhou,10.8,31.2,2.4,2.6,0
Shenzhen,10.8,19.1,1.3,1.4,0
Nanyang,10.7,39,1.8,3.3,0.4
Shijiazhuang,10.6,56,4.8,5,2.1
Linyi,10.5,43.5,1.6,3.8,0.8
Wuhan,10.1,36.9,3.6,3.1,0.2
Handan,9.5,48.5,3.5,4.3,1.3
Weifang,9.5,42.8,1.3,3.7,0.8
Wenzhou,9.5,24.3,1.5,1.9,0
Zhoukou,9.3,47,1.4,4.1,1.2
Hangzhou,9.1,28.6,2.8,2.3,0
Qingdao,9.1,34,1.4,2.8,0
Zhengzhou,9,47.3,2.5,4.1,1.2
Xuzhou,8.9,48.9,1.3,4.3,1.4
Xi'an,8.9,44.5,1.2,3.9,0.9
Ganzhou,8.7,21.3,1.7,1.6,0
Heze,8.6,51.2,1.4,4.5,1.6
