Province,Population (Millions),"PM2.5 Concentration, 2020 (µg/m³)",Years of LE Gain through reducing PM2.5 from 2020 concentration to WHO guideline of 5 µg/m³,Years of LE Gain through reducing PM2.5 from 2020 concentration by 30 percent
Aceh,5.27,14.69,0.95,0.43
Bali,4.24,10.05,0.49,0.3
Bangka Belitung,1.46,8.83,0.38,0.26
Banten,12.73,24.13,1.87,0.71
Bengkulu,1.95,12.44,0.73,0.37
Central Java,34.3,17.6,1.23,0.52
East Java,39.02,16.52,1.13,0.49
Gorontalo,1.16,8.35,0.33,0.25
Jakarta Raya,10.38,29.94,2.44,0.88
Jambi,3.56,10.8,0.57,0.32
Kalimantan Barat,5.01,11.07,0.59,0.33
Kalimantan Selatan,4.17,11.65,0.65,0.34
Kalimantan Tengah,2.68,10.77,0.57,0.32
Kalimantan Timur,4.28,9.24,0.42,0.27
Kepulauan Riau,2.07,8.67,0.36,0.25
Lampung,8.31,15.47,1.03,0.45
Maluku,1.56,6.48,0.15,0.19
Maluku Utara,1.06,7.8,0.27,0.23
Nusa Tenggara Barat,4.94,9.08,0.4,0.27
Nusa Tenggara Timur,5.3,7.7,0.26,0.23
Papua,3.23,10.19,0.51,0.3
Papua Barat,0.87,7.75,0.27,0.23
Riau,6.79,10.15,0.5,0.3
Sulawesi Barat,1.29,11.82,0.67,0.35
Sulawesi Selatan,8.61,12.27,0.71,0.36
Sulawesi Tengah,2.88,10.92,0.58,0.32
Sulawesi Tenggara,2.56,8.83,0.38,0.26
Sulawesi Utara,2.39,9.01,0.39,0.26
Sumatera Barat,5.38,14.24,0.91,0.42
Sumatera Selatan,8.4,13.7,0.85,0.4
Sumatera Utara,14.38,25.09,1.97,0.74
West Java,48.68,21.86,1.65,0.64
Yogyakarta,3.8,12.08,0.69,0.36
