years,region,pop_weighted_avg_pm2.5
1998,National Average,20.950336130986322
1999,National Average,18.304981906302018
2000,National Average,20.661022726548264
2001,National Average,21.597385091120938
2002,National Average,21.318538327750836
2003,National Average,21.281750268302122
2004,National Average,22.413990319057064
2005,National Average,22.410345838943286
2006,National Average,21.284483691313902
2007,National Average,22.011348900204197
2008,National Average,23.917381661526786
2009,National Average,22.53102344437096
2010,National Average,23.711155966340726
2011,National Average,22.152604502393885
2012,National Average,22.01870099299654
2013,National Average,20.489126555047488
2014,National Average,20.438330755585923
2015,National Average,20.45239815766051
2016,National Average,23.10452793025062
2017,National Average,22.903552631354277
2018,National Average,23.47157683207549
2019,National Average,22.880774744465278
2020,National Average,23.66984056489807
