name_1,tot_pop,avg_pm2.5_2020,le_gain
Gyeonggi-do,12676179,22.263180318610996,1.6917916712238776
Seoul,9941214,21.609583500269483,1.6277391830264094
Gyeongsangnam-do,3476195,17.507277635384956,1.2257132082677258
Busan,3226604,18.331236422053653,1.306461169361258
Incheon,3144551,23.308735273827967,1.7942560568351409
Gyeongsangbuk-do,2847968,18.55755198781517,1.3286400948058867
Daegu,2363300,19.15464437660517,1.3871551489073066
Chungcheongnam-do,2083530,19.59696945634044,1.430503006721363
Jeollanam-do,2012933,17.12642049946769,1.1883892089478338
Jeollabuk-do,1846348,20.719388449145015,1.5405000680162115
