years,region,pop_weighted_avg_pm2.5
1998,National Average,18.424028558386766
1999,National Average,18.87598830875418
2000,National Average,22.142845528486323
2001,National Average,21.04871154144904
2002,National Average,19.162626641384662
2003,National Average,26.19841174679367
2004,National Average,21.606943458934012
2005,National Average,22.30741581249439
2006,National Average,23.77592836410035
2007,National Average,23.894192988414126
2008,National Average,23.79296240930095
2009,National Average,22.861060193499547
2010,National Average,21.061710859038165
2011,National Average,21.67031753470241
2012,National Average,21.988864383524835
2013,National Average,23.291635637786005
2014,National Average,23.810719864326195
2015,National Average,22.932502723641587
2016,National Average,22.452364793616493
2017,National Average,20.69767909723669
2018,National Average,20.558386152153847
2019,National Average,21.403614280174338
2020,National Average,20.274217656484957
