country,avg_pm2.5_2020,tot_pop,tot_pop_millions,avg_le_lost_in_years,total_ly_lost,total_ly_lost_millions
Akrotiri and Dhekelia,11.300814120385889,24463,0,0.6,15105.407951045998,0
Åland,3.788517699458186,29715,0,0,0,0
American Samoa,0.69999999,46136,0,0,0,0
Angola,17.36696509213926,31245992,31.2,1.2,37868973.048659734,37.9
Anguilla,1.7666591,17756,0,0,0,0
Aruba,2.7545669,118013,0.1,0,0,0
Bahamas,2.847599314085123,336078,0.3,0,0,0
Barbados,1.8627332853937402,293874,0.3,0,0,0
Belize,11.781264418268313,393512,0.4,0.7,261513.8745286368,0.3
Bermuda,2.613445842882528,71472,0.1,0,0,0
"Bonaire, Sint Eustatius and Saba",2.602320864733235,24947,0,0,0,0
Botswana,11.349280588191021,2281442,2.3,0.6,1419580.5095610025,1.4
British Virgin Islands,1.6166871630127628,36591,0,0,0,0
Brunei,5.539008445930619,453521,0.5,0.1,23956.2616418762,0
Burundi,31.7607674193695,11533824,11.5,2.6,30248090.188954316,30.2
Cameroon,31.423385523888008,27034523,27,2.6,70005675.12097491,70
Cape Verde,1.76255634890299,575838,0.6,0,0,0
Caspian Sea,9.0725651,334819,0.3,0.4,133630.0730732562,0.1
Cayman Islands,6.43661998023231,60781,0.1,0.1,8557.281503813,0
Central African Republic,26.907480946714227,5898310,5.9,2.1,12663277.166395772,12.7
Chad,11.437401097091083,16381798,16.4,0.6,10348288.932140615,10.3
Christmas Island,2.2,1721,0,0,0,0
Cocos Islands,1.3,485,0,0,0,0
Comoros,5.450579808982781,770719,0.8,0,34032.50114034119,0
Cook Islands,0.7906884,7743,0,0,0,0
Curaçao,3.0379167,150809,0.2,0,0,0
Democratic Republic of the Congo,34.199126821014055,98570247,98.6,2.9,282060184.00730467,282.1
Djibouti,16.65262948859854,902209,0.9,1.1,1030284.505431342,1
Dominica,2.0426373228285497,74144,0.1,0,0,0
Equatorial Guinea,28.61102949464859,800425,0.8,2.3,1852088.1117589017,1.9
Eritrea,11.67802624832285,6009776,6,0.7,3933077.3037049887,3.9
Ethiopia,16.70524890021781,108433029,108.4,1.1,124385088.15805453,124.4
Falkland Islands,1.2051017,3195,0,0,0,0
Faroe Islands,1.8623862526724995,51319,0.1,0,0,0
French Guiana,4.4251581779418565,296063,0.3,0,6212.719381530201,0
French Polynesia,0.9350892725325282,231800,0.2,0,0,0
French Southern Territories,7.8117509,35392,0,0.3,9752.3218095744,0
Gabon,23.81532917997086,2164606,2.2,1.8,3991321.89462412,4
Gibraltar,8.6999998,30110,0,0.4,10917.885409844002,0
Grenada,1.9199493894297253,112665,0.1,0,0,0
Guadeloupe,2.1511167849423645,390991,0.4,0,0,0
Guam,0.6864017744829227,168147,0.2,0,0,0
Guatemala,28.445654166400406,16876371,16.9,2.3,38776400.688887164,38.8
Guernsey,5.601437219997533,64843,0.1,0.1,3821.901378317402,0
Guinea,10.630684235448772,12182769,12.2,0.6,6722537.884536572,6.7
Guinea-Bissau,8.226460406670386,1867943,1.9,0.3,590630.7248788759,0.6
Guyana,5.5505286001414875,723031,0.7,0.1,44237.2983790444,0
Haiti,8.715052534153036,10953307,11,0.4,3995556.608671088,4
Iran,17.16987744618295,83898084,83.9,1.2,100060881.22445716,100.1
Iraq,23.663586423445764,40198879,40.2,1.8,73525014.72952962,73.5
Isle of Man,4.7243266403225626,89967,0.1,-0,8.976788553600041,0
Jersey,5.552641728312473,100348,0.1,0.1,5434.736230964601,0
Kiribati,0.81051004,114738,0.1,0,0,0
Kosovo,20.900572672402614,1916975,1.9,1.6,2987138.0292705423,3
Lesotho,22.940397546618883,1965459,2,1.8,3455589.35051484,3.5
Liberia,10.668257687739686,4926685,4.9,0.6,2736720.5723795365,2.7
Libya,6.669422398013971,6758109,6.8,0.2,1115613.4777632125,1.1
Madagascar,7.052273480050679,26232697,26.2,0.2,5805671.244706183,5.8
Malawi,14.798058234307138,20454746,20.5,1,19640845.662644178,19.6
Malaysia,12.654789602425817,32159348,32.2,0.8,24124958.183736965,24.1
Maldives,11.998388,31949,0,0.7,21911.966824776002,0
Mali,5.505266916786324,18962317,19,0,1341995.1933453914,1.3
Marshall Islands,0.55639726,61792,0.1,0,0,0
Martinique,2.550844323465696,372612,0.4,0,0,0
Mauritania,3.2023190870602445,3980137,4,0,3715.6937752116087,0
Mayotte,6.873326033810375,245401,0.2,0.2,45052.1760382638,0
Monaco,9.5,18599,0,0.4,8202.159,0
Montserrat,2.1730064046611752,5342,0,0,0,0
Myanmar,32.43945539293487,55197776,55.2,2.7,148430497.4094387,148.4
Namibia,10.592056744393375,2578423,2.6,0.5,1414285.650717331,1.4
Nauru,1,5885,0,0,0,0
New Caledonia,2.2415972564159903,282622,0.3,0,0,0
Niger,10.041442962317348,21969069,22,0.5,10948213.21237594,10.9
Niue,0.63648069,1864,0,0,0,0
Norfolk Island,1.2,1748,0,0,0,0
North Korea,20.64433138089087,25523568,25.5,1.5,39131317.2698408,39.1
Northern Cyprus,12.28929092636625,391967,0.4,0.7,280001.82666043,0.3
Northern Mariana Islands,0.5953111293139719,51718,0.1,0,0,0
Papua New Guinea,10.797918327299358,6955442,7,0.6,3956821.42717113,4
Puerto Rico,2.2493513586763845,3240261,3.2,0,0,0
Republic of Congo,31.624123753588187,5209945,5.2,2.6,13593601.602080025,13.6
Reunion,1.8107123713906197,865765,0.9,0,0,0
Saint-Barthélemy,2,7140,0,0,0,0
Saint-Martin,1.8625737,32047,0,0,0,0
Saint Helena,1.9493423903640228,7527,0,0,0,0
Saint Kitts and Nevis,2.2651216501318667,53463,0.1,0,0,0
Saint Lucia,1.7771992865422148,166008,0.2,0,0,0
Saint Pierre and Miquelon,3.379182909539656,5409,0,0,0,0
Saint Vincent and the Grenadines,1.9093061298522138,100686,0.1,0,0,0
Samoa,0.8415560532371654,182320,0.2,0,0,0
São Tomé and Príncipe,10.739687169066531,193622,0.2,0.6,108910.311486802,0.1
Seychelles,3.062773543625818,83446,0.1,0,0,0
Sierra Leone,11.729177908334965,6468486,6.5,0.7,4265704.122974252,4.3
Singapore,10.926833526043463,6095272,6.1,0.6,3540314.919115492,3.5
Sint Maarten,1.8882254,43645,0,0,0,0
Solomon Islands,5.4670239592783165,525327,0.5,0,26061.1586454506,0
Somalia,6.964702518160437,11479597,11.5,0.2,2320976.5101470486,2.3
South Sudan,14.982676072251067,10293578,10.3,1,10070230.5702481,10.1
Sudan,9.696820461417577,44340092,44.3,0.5,20409230.233940307,20.4
Suriname,4.900349983575763,620729,0.6,-0,13965.549766583801,0
Taiwan,14.529403119577607,23562084,23.6,0.9,22004194.483788263,22
Togo,15.004517892585143,8412179,8.4,1,8247659.941470643,8.2
Tokelau,1.3,364,0,0,0,0
Tonga,1.029026271962159,100843,0.1,0,0,0
Tunisia,8.419376751636072,11617187,11.6,0.3,3892906.8364264625,3.9
Turks and Caicos Islands,2.173412876503052,54722,0.1,0,0,0
Tuvalu,1.2623076923076924,910,0,0,0,0
Uganda,26.90564091328622,41790590,41.8,2.1,89714066.49324827,89.7
United States Minor Outlying Islands,1.6,40,0,0,0,0
Uruguay,7.759387386630242,3365274,3.4,0.3,910037.2735591606,0.9
Uzbekistan,21.315288716347297,30439527,30.4,1.6,48669707.79661679,48.7
Vanuatu,3.065013020678499,272307,0.3,0,0,0
Vatican City,10.9,1000,0,0.6,578.2,0
"Virgin Islands, U.S.",1.7456049359163845,106631,0.1,0,0,0
Wallis and Futuna,0.9223669906091467,15809,0,0,0,0
Western Sahara,3.4101004899985536,636068,0.6,0,0,0
Yemen,14.20165464342942,29286555,29.3,0.9,26409506.950968508,26.4
Zambia,17.675077275856832,16986072,17,1.2,21099377.970900264,21.1
Zimbabwe,11.682633998283197,14261281,14.3,0.7,9339686.28442768,9.3
