years,region,pop_weighted_avg_pm2.5
1998,All other regions (excluding North India),22.691166440543284
1999,All other regions (excluding North India),23.536952871534055
2000,All other regions (excluding North India),24.616477704006254
2001,All other regions (excluding North India),27.61668994137324
2002,All other regions (excluding North India),28.036870949698425
2003,All other regions (excluding North India),30.029240091169687
2004,All other regions (excluding North India),29.96936715787741
2005,All other regions (excluding North India),31.49819443430308
2006,All other regions (excluding North India),32.866555782140644
2007,All other regions (excluding North India),33.987697933791374
2008,All other regions (excluding North India),35.06419506280938
2009,All other regions (excluding North India),35.28651268874122
2010,All other regions (excluding North India),35.66294645475392
2011,All other regions (excluding North India),37.25999857520732
2012,All other regions (excluding North India),34.617770956200154
2013,All other regions (excluding North India),36.14511218334642
2014,All other regions (excluding North India),36.610396385700206
2015,All other regions (excluding North India),35.76314768267917
2016,All other regions (excluding North India),36.638029091099895
2017,All other regions (excluding North India),36.91744447323289
2018,All other regions (excluding North India),36.652649544795146
2019,All other regions (excluding North India),37.51109126844064
2020,All other regions (excluding North India),38.918601076539716
1998,North India,53.18290823791979
1999,North India,52.37899529373863
2000,North India,58.116042329945394
2001,North India,63.43897781059686
2002,North India,63.03028267757591
2003,North India,68.68537301448936
2004,North India,67.29342236705321
2005,North India,67.57917242935231
2006,North India,69.77772866000919
2007,North India,72.65882939168745
2008,North India,79.58644544152702
2009,North India,78.21716231214835
2010,North India,78.48674269676647
2011,North India,85.29530954945112
2012,North India,76.63238368364341
2013,North India,80.00396928438518
2014,North India,75.38240726004932
2015,North India,76.50146141315189
2016,North India,84.07259582556135
2017,North India,77.94098446547741
2018,North India,79.80266224297566
2019,North India,80.50649227805766
2020,North India,82.28087874082375
1998,National Average,34.56090674594761
1999,National Average,34.76450279977327
2000,National Average,37.65709490115892
2001,National Average,41.561490372213314
2002,National Average,41.65900878525276
2003,National Average,45.07719183036725
2004,National Average,44.4987713953096
2005,National Average,45.54369703668609
2006,National Average,47.23523433581643
2007,National Average,49.04148826074711
2008,National Average,52.39569266367904
2009,National Average,51.998436381338884
2010,National Average,52.33327456070598
2011,National Average,55.95905061829753
2012,National Average,50.97310235776
2013,National Average,53.21836589710968
2014,National Average,51.70345677087089
2015,National Average,51.62164496611095
2016,National Average,55.10322509003335
2017,National Average,52.886973841286476
2018,National Average,53.449966284056316
2019,National Average,54.248221200282806
2020,National Average,55.79854773049474
