region,years,pop_weighted_avg_pm2.5
China,1998,32.77004132045646
China,1999,31.88546844824536
China,2000,35.76546307302647
China,2001,37.04133595677703
China,2002,39.63101588262356
China,2003,45.427917346432615
China,2004,44.188193940328055
China,2005,47.22059254571373
China,2006,50.29461219568139
China,2007,50.605755840678114
China,2008,50.11518021504763
China,2009,47.99976297804394
China,2010,46.72413901018834
China,2011,52.48377510956857
China,2012,49.01739741254439
China,2013,52.285255031473014
China,2014,50.20594257512311
China,2015,46.84838770309427
China,2016,43.409861629348626
China,2017,40.91298321797795
China,2018,35.82644240926814
China,2019,35.08662280741626
China,2020,31.912841096119273
China,2021,30.199905617582203
Rest of the World,1998,15.37327601954903
Rest of the World,1999,14.360425034008566
Rest of the World,2000,15.807278868174391
Rest of the World,2001,16.53976074141367
Rest of the World,2002,16.58042915131898
Rest of the World,2003,16.72656427671783
Rest of the World,2004,16.562334436924584
Rest of the World,2005,17.174791055417767
Rest of the World,2006,17.16626406751637
Rest of the World,2007,17.30409952780039
Rest of the World,2008,16.96665333318909
Rest of the World,2009,17.12262619558972
Rest of the World,2010,17.193663155361595
Rest of the World,2011,17.58336074666099
Rest of the World,2012,17.244057889732687
Rest of the World,2013,16.901520167976436
Rest of the World,2014,16.635967841858708
Rest of the World,2015,16.893818301694047
Rest of the World,2016,16.18007982643948
Rest of the World,2017,15.99996015611405
Rest of the World,2018,15.838177085018723
Rest of the World,2019,16.14779515492156
Rest of the World,2020,15.69267952395611
Rest of the World,2021,15.9307798796259
South Asia,1998,34.393490858460176
South Asia,1999,34.26038751522955
South Asia,2000,37.53297400327567
South Asia,2001,40.93297107975915
South Asia,2002,40.895688955347275
South Asia,2003,43.69914197154352
South Asia,2004,43.368948453791184
South Asia,2005,44.92887436685871
South Asia,2006,47.29663332033325
South Asia,2007,48.371970261238246
South Asia,2008,50.95354804477962
South Asia,2009,51.041614462385716
South Asia,2010,51.286829728813736
South Asia,2011,54.46985360695247
South Asia,2012,50.51475519041438
South Asia,2013,51.729818767879145
South Asia,2014,50.87952417447954
South Asia,2015,51.02241982591835
South Asia,2016,53.33820556707081
South Asia,2017,51.38565479806464
South Asia,2018,52.59362618631267
South Asia,2019,53.82409334614632
South Asia,2020,55.06569898036006
South Asia,2021,56.77150732682654
Global,1998,23.029232348485728
Global,1999,22.24794405400745
Global,2000,24.567974675792243
Global,2001,26.03056762766672
Global,2002,26.514622916718277
Global,2003,28.31383941257387
Global,2004,27.91544569021805
Global,2005,29.190718638427978
Global,2006,30.303400365715657
Global,2007,30.694633198851985
Global,2008,31.020654526855502
Global,2009,30.749003316824098
Global,2010,30.61728883288105
Global,2011,32.64139192810772
Global,2012,30.879301875234265
Global,2013,31.55975063747847
Global,2014,30.827105869020514
Global,2015,30.402674643281596
Global,2016,29.912621186126486
Global,2017,28.893033108750956
Global,2018,28.163304835235174
Global,2019,28.500832616370182
Global,2020,27.954909080112454
Global,2021,28.18705602710332
