Country,PM2.5 concentration 2021 (in µg/m³),National Standard (in µg/m³),Life Expectancy Gains from reducing PM2.5 from 2021 Concentrations to the WHO Guideline of 5 µg/m³,Life Expectancy Gains from reducing PM2.5 from 2021 Concentrations to the National Standard
Afghanistan,16.9,35,1.2,0
Akrotiri and Dhekelia,11.2,*,0.6,*
Albania,13.5,25,0.8,0
Algeria,6.2,*,0.1,*
American Samoa,1,*,0,*
Andorra,7.6,25,0.2,0
Angola,16.9,*,1.2,*
Anguilla,2.2,*,0,*
Antigua and Barbuda,2.4,*,0,*
Argentina,11.2,15,0.6,0
Armenia,19.5,*,1.4,*
Aruba,3.3,*,0,*
Australia,3.6,8,0,0
Austria,10.7,25,0.6,0
Azerbaijan,12.4,*,0.7,*
Bahamas,3.8,*,0,*
Bahrain,17.9,*,1.3,*
Bangladesh,74,15,6.8,5.8
Barbados,2.5,10,0,0
Belarus,12.8,*,0.8,*
Belgium,10.1,25,0.5,0
Belize,10.4,*,0.5,*
Benin,17.4,*,1.2,*
Bermuda,3.3,*,0,*
Bhutan,30.6,*,2.5,*
Bolivia,25.2,*,2,*
"Bonaire, Sint Eustatius and Saba",3.3,*,0,*
Bosnia and Herzegovina,23.7,25,1.8,0
Botswana,12.8,*,0.8,*
Bouvet Island,*,*,*,*
Brazil,11.1,*,0.6,*
British Indian Ocean Territory,*,*,*,*
British Virgin Islands,2.1,*,0,*
Brunei,6.2,*,0.1,*
Bulgaria,19,25,1.4,0
Burkina Faso,8.5,*,0.3,*
Burundi,31.9,*,2.6,*
Cabo Verde,2.6,*,0,*
Cambodia,19.8,*,1.4,*
Cameroon,31,*,2.5,*
Canada,8,8.8,0.3,0
Cayman Islands,7.4,*,0.2,*
Central African Republic,25.6,*,2,*
Chad,11.1,*,0.6,*
Chile,18.9,20,1.4,0
China,30.2,35,2.5,0
Christmas Island,2.2,*,0,*
Clipperton Island,*,*,*,*
Cocos Islands,1.8,*,0,*
Colombia,13.6,20,0.8,0
Comoros,6.4,*,0.1,*
Cook Islands,1,*,0,*
Costa Rica,12.5,*,0.7,*
Croatia,14.9,25,1,0
Cuba,6.8,*,0.2,*
Curaçao,3.6,*,0,*
Cyprus,12.3,25,0.7,0
Czechia,13.2,25,0.8,0
Côte d'Ivoire,10.8,*,0.6,*
Democratic Republic of the Congo,34.6,*,2.9,*
Denmark,8.1,25,0.3,0
Djibouti,17.4,*,1.2,*
Dominica,2.5,*,0,*
Dominican Republic,7.9,15,0.3,0
Ecuador,16,15,1.1,0.1
Egypt,18.2,50,1.3,0
El Salvador,25.8,15,2,1.1
Equatorial Guinea,29.1,*,2.4,*
Eritrea,12.9,*,0.8,*
Estonia,6.7,25,0.2,0
Ethiopia,17,*,1.2,*
Falkland Islands,2,*,0,*
Faroe Islands,2.5,*,0,*
Fiji,2.4,*,0,*
Finland,5.1,25,0,0
France,9.2,25,0.4,0
French Guiana,5.8,*,0.1,*
French Polynesia,1.4,*,0,*
French Southern Territories,*,*,*,*
Gabon,23.6,*,1.8,*
Gambia,7.1,*,0.2,*
Georgia,14.5,20,0.9,0
Germany,9.3,25,0.4,0
Ghana,13.1,*,0.8,*
Gibraltar,9.7,*,0.5,*
Greece,11.8,25,0.7,0
Greenland,1.2,*,0,*
Grenada,2.6,*,0,*
Guadeloupe,2.8,*,0,*
Guam,1.3,*,0,*
Guatemala,29,*,2.4,*
Guernsey,8,*,0.3,*
Guinea,11.2,*,0.6,*
Guinea-Bissau,8.6,*,0.3,*
Guyana,7.1,*,0.2,*
Haiti,10.1,*,0.5,*
Heard Island and McDonald Island,*,*,*,*
Honduras,25.1,*,2,*
Hungary,14.1,25,0.9,0
Iceland,4.1,25,0,0
India,58.7,40,5.3,1.8
Indonesia,18.8,15,1.4,0.4
Iran,16.6,*,1.1,*
Iraq,24.6,*,1.9,*
Ireland,6.4,25,0.1,0
Isle of Man,6.5,*,0.1,*
Israel,12.6,25,0.7,0
Italy,13,25,0.8,0
Jamaica,13,15,0.8,0
Japan,10.7,15,0.6,0
Jersey,8.4,*,0.3,*
Jordan,18.6,*,1.3,*
Kazakhstan,13.3,*,0.8,*
Kenya,17.4,35,1.2,0
Kiribati,1,*,0,*
Kosovo,20.8,*,1.6,*
Kuwait,17.2,*,1.2,*
Kyrgyzstan,14.7,5,0.9,0.9
Laos,27.2,*,2.2,*
Latvia,14.1,25,0.9,0
Lebanon,16.8,*,1.2,*
Lesotho,23.1,*,1.8,*
Liberia,10.5,*,0.5,*
Libya,6.8,*,0.2,*
Liechtenstein,11.1,*,0.6,*
Lithuania,12.2,25,0.7,0
Luxembourg,8.6,25,0.3,0
Macedonia,22.9,*,1.8,*
Madagascar,9.9,*,0.5,*
Malawi,16.2,*,1.1,*
Malaysia,13.7,*,0.9,*
Maldives,8.8,*,0.4,*
Mali,6.8,*,0.2,*
Malta,6.3,25,0.1,0
Marshall Islands,1,*,0,*
Martinique,3.2,*,0,*
Mauritania,3.8,*,0,*
Mauritius,6.1,*,0.1,*
Mayotte,8,*,0.3,*
Micronesia,1,*,0,*
Moldova,14.7,25,0.9,0
Monaco,10.1,*,0.5,*
Mongolia,36,25,3,1.1
Montenegro,17,25,1.2,0
Montserrat,2.9,*,0,*
Morocco,8.8,*,0.4,*
Mozambique,12.4,*,0.7,*
Myanmar,35,*,2.9,*
México,17.3,12,1.2,0.5
Namibia,12,*,0.7,*
Nauru,1.3,*,0,*
Nepal,51.7,*,4.6,*
Netherlands,9.7,25,0.5,0
New Caledonia,3.4,*,0,*
New Zealand,3.5,*,0,*
Nicaragua,13.6,*,0.8,*
Niger,8.9,*,0.4,*
Nigeria,23,*,1.8,*
Niue,0.9,*,0,*
Norfolk Island,1.8,*,0,*
North Korea,20,*,1.5,*
Northern Cyprus,12.2,*,0.7,*
Northern Mariana Islands,1,*,0,*
Norway,5.6,12,0.1,0
Oman,12.1,*,0.7,*
Pakistan,44.7,15,3.9,2.9
Palau,2.9,12,0,0
Palestine,12.6,*,0.8,*
Panama,9.1,20,0.4,0
Papua New Guinea,12.9,*,0.8,*
Paracel Islands,6.7,*,0.2,*
Paraguay,13.7,15,0.8,0
Peru,24.2,25,1.9,0
Philippines,18.3,25,1.3,0
Pitcairn Islands,2,*,0,*
Poland,18,25,1.3,0
