years,region,pop_weighted_avg_pm2.5,ref_dataset
1998,National Average,23.029232348485728,2021 dataset
1999,National Average,22.24794405400745,2021 dataset
2000,National Average,24.567974675792243,2021 dataset
2001,National Average,26.03056762766672,2021 dataset
2002,National Average,26.514622916718277,2021 dataset
2003,National Average,28.31383941257387,2021 dataset
2004,National Average,27.91544569021805,2021 dataset
2005,National Average,29.190718638427978,2021 dataset
2006,National Average,30.303400365715657,2021 dataset
2007,National Average,30.694633198851985,2021 dataset
2008,National Average,31.020654526855502,2021 dataset
2009,National Average,30.749003316824098,2021 dataset
2010,National Average,30.61728883288105,2021 dataset
2011,National Average,32.64139192810772,2021 dataset
2012,National Average,30.879301875234265,2021 dataset
2013,National Average,31.55975063747847,2021 dataset
2014,National Average,30.827105869020514,2021 dataset
2015,National Average,30.402674643281596,2021 dataset
2016,National Average,29.912621186126486,2021 dataset
2017,National Average,28.893033108750956,2021 dataset
2018,National Average,28.163304835235174,2021 dataset
2019,National Average,28.500832616370182,2021 dataset
2020,National Average,27.954909080112454,2021 dataset
2021,National Average,28.18705602710332,2021 dataset
1998,National Average,22.799725867514844,2020 dataset
1999,National Average,22.063745911908967,2020 dataset
2000,National Average,24.332277941886915,2020 dataset
2001,National Average,25.772392088849323,2020 dataset
2002,National Average,26.256336158999865,2020 dataset
2003,National Average,28.11119640662106,2020 dataset
2004,National Average,27.64490245709783,2020 dataset
2005,National Average,28.928847829067248,2020 dataset
2006,National Average,29.998735718239356,2020 dataset
2007,National Average,30.373909740480943,2020 dataset
2008,National Average,30.6712854728329,2020 dataset
2009,National Average,30.412100048848814,2020 dataset
2010,National Average,30.302752145452622,2020 dataset
2011,National Average,32.300208779982476,2020 dataset
2012,National Average,30.510898249656805,2020 dataset
2013,National Average,31.163634721360932,2020 dataset
2014,National Average,30.387282017745076,2020 dataset
2015,National Average,29.961998477047775,2020 dataset
2016,National Average,29.557260278803994,2020 dataset
2017,National Average,28.394385664365362,2020 dataset
2018,National Average,27.709976936573586,2020 dataset
2019,National Average,27.74654080778664,2020 dataset
2020,National Average,27.492967012765497,2020 dataset
1998,National Average,32.656923030196786,2019 dataset
1999,National Average,27.99045006039284,2019 dataset
2000,National Average,30.382836316734537,2019 dataset
2001,National Average,29.783874947296102,2019 dataset
2002,National Average,30.455317731787023,2019 dataset
2003,National Average,29.71144463653845,2019 dataset
2004,National Average,30.14800139330275,2019 dataset
2005,National Average,29.33902568358964,2019 dataset
2006,National Average,30.936314881718037,2019 dataset
2007,National Average,31.264556380201295,2019 dataset
2008,National Average,31.572659488925506,2019 dataset
2009,National Average,32.797100840598446,2019 dataset
2010,National Average,32.656923030196786,2019 dataset
2011,National Average,35.98746240845306,2019 dataset
2012,National Average,36.26647523863972,2019 dataset
2013,National Average,34.4230624712561,2019 dataset
2014,National Average,33.156904746241494,2019 dataset
2015,National Average,33.08219074937687,2019 dataset
2016,National Average,34.16848379338649,2019 dataset
2017,National Average,31.02531554691576,2019 dataset
2018,National Average,33.15216855727773,2019 dataset
2019,National Average,32.2171215301309,2019 dataset
1998,National Average,19.18298855430292,2016 dataset
1999,National Average,19.309506200467535,2016 dataset
2000,National Average,19.124852010958108,2016 dataset
2001,National Average,21.528924746884254,2016 dataset
2002,National Average,22.0172689245468,2016 dataset
2003,National Average,23.464111816959537,2016 dataset
2004,National Average,22.824257302490256,2016 dataset
2005,National Average,24.506891838078257,2016 dataset
2006,National Average,25.416545689302538,2016 dataset
2007,National Average,25.28994957393371,2016 dataset
2008,National Average,25.277057748849753,2016 dataset
2009,National Average,24.87098313358828,2016 dataset
2010,National Average,24.866313963730168,2016 dataset
2011,National Average,23.640427801097143,2016 dataset
2012,National Average,23.47607693385753,2016 dataset
2013,National Average,25.437330757268718,2016 dataset
2014,National Average,25.547788417424687,2016 dataset
2015,National Average,26.94432620494117,2016 dataset
2016,National Average,26.939712413239427,2016 dataset
