objectid_gadm2,iso_alpha3,country,name_1,name_2,population,whostandard,natstandard,pm1998,pm1999,pm2000,pm2001,pm2002,pm2003,pm2004,pm2005,pm2006,pm2007,pm2008,pm2009,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017,pm2018,pm2019,pm2020,pm2021,llpp_who_1998,llpp_who_1999,llpp_who_2000,llpp_who_2001,llpp_who_2002,llpp_who_2003,llpp_who_2004,llpp_who_2005,llpp_who_2006,llpp_who_2007,llpp_who_2008,llpp_who_2009,llpp_who_2010,llpp_who_2011,llpp_who_2012,llpp_who_2013,llpp_who_2014,llpp_who_2015,llpp_who_2016,llpp_who_2017,llpp_who_2018,llpp_who_2019,llpp_who_2020,llpp_who_2021,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018,llpp_nat_2019,llpp_nat_2020,llpp_nat_2021,continent.x,continent.y,continent,lyl_bucket,order_lyl_bucket
3405,BGD,Bangladesh,Dhaka,Dhaka,13791222,5,15,50.91,53.63,59.45,62.86,62.65,64.74,63.5,69.99,75.25,72.17,76,80.61,77.59,81.88,80.65,75.48,79.97,75.59,74.15,71.15,89.06,77.6,87.29,87.23,4.5,4.77,5.34,5.67,5.65,5.85,5.73,6.37,6.88,6.58,6.96,7.41,7.11,7.53,7.41,6.91,7.35,6.92,6.78,6.48,8.24,7.11,8.06,8.06,3.52,3.79,4.36,4.69,4.67,4.87,4.75,5.39,5.9,5.6,5.98,6.43,6.13,6.55,6.43,5.93,6.37,5.94,5.8,5.5,7.26,6.13,7.08,7.08,Asia,NA,Asia,>= 6,9
3397,BGD,Bangladesh,Chittagong,Chittagong,8657012,5,15,49.92,55.31,55.84,59.11,57.23,59.5,60.04,62.69,65.76,66.55,64.33,74,64.69,68.39,66.26,63.44,72.32,69.32,70.88,60.79,74.57,69.87,72.26,75.54,4.4,4.93,4.98,5.3,5.12,5.34,5.39,5.65,5.95,6.03,5.81,6.76,5.85,6.21,6,5.73,6.6,6.3,6.46,5.47,6.82,6.36,6.59,6.91,3.42,3.95,4,4.32,4.14,4.36,4.41,4.67,4.97,5.05,4.83,5.78,4.87,5.23,5.02,4.75,5.62,5.32,5.48,4.49,5.84,5.38,5.61,5.93,Asia,NA,Asia,>= 6,9
3398,BGD,Bangladesh,Chittagong,Comilla,6124075,5,15,53.06,55.26,58.01,60.74,59.04,62.3,63.56,68.82,71.3,71.65,75.77,82.16,77.93,77.25,77,72.61,79.04,72.61,75.99,69.18,86.8,76.87,84.53,88.21,4.71,4.93,5.19,5.46,5.3,5.61,5.74,6.25,6.5,6.53,6.94,7.56,7.15,7.08,7.06,6.63,7.26,6.63,6.96,6.29,8.02,7.04,7.79,8.16,3.73,3.95,4.21,4.48,4.32,4.63,4.76,5.27,5.52,5.55,5.96,6.58,6.17,6.1,6.08,5.65,6.28,5.65,5.98,5.31,7.04,6.06,6.81,7.18,Asia,NA,Asia,>= 6,9
3429,BGD,Bangladesh,Mymensingh,Mymensingh,5815595,5,15,46.2,46.1,52.76,54.73,54.43,54.34,57.54,62.2,66.79,61.74,66.61,72.15,66.79,70.76,73.02,67.2,68.9,66.56,64.08,64.01,77.29,69.56,79.49,73.52,4.04,4.03,4.68,4.87,4.84,4.84,5.15,5.61,6.06,5.56,6.04,6.58,6.06,6.44,6.67,6.1,6.26,6.03,5.79,5.78,7.08,6.33,7.3,6.71,3.06,3.05,3.7,3.89,3.86,3.86,4.17,4.63,5.08,4.58,5.06,5.6,5.08,5.46,5.69,5.12,5.28,5.05,4.81,4.8,6.1,5.35,6.32,5.73,Asia,NA,Asia,>= 6,9
3417,BGD,Bangladesh,Dhaka,Tangail,4122304,5,15,52.05,50.27,59.02,63,63.13,61.12,61.13,68.73,72.45,68.38,74.87,80.16,76.02,81.24,81.39,75.05,76.75,72.06,68.39,72.49,86.96,75.41,88.42,80.97,4.61,4.44,5.29,5.68,5.7,5.5,5.5,6.25,6.61,6.21,6.85,7.37,6.96,7.47,7.49,6.86,7.03,6.57,6.21,6.61,8.03,6.9,8.17,7.45,3.63,3.46,4.31,4.7,4.72,4.52,4.52,5.27,5.63,5.23,5.87,6.39,5.98,6.49,6.51,5.88,6.05,5.59,5.23,5.63,7.05,5.92,7.19,6.47,Asia,NA,Asia,>= 6,9
3407,BGD,Bangladesh,Dhaka,Gazipur,3989975,5,15,51.32,54.5,60.95,67.64,66.18,66.62,66.61,74.96,80.26,74.14,81.08,86.03,81.61,88.2,87.25,80.28,83.72,81.98,77.68,76.64,96.75,82.7,95.41,89.85,4.54,4.85,5.48,6.14,6,6.04,6.04,6.86,7.38,6.78,7.46,7.94,7.51,8.15,8.06,7.38,7.71,7.54,7.12,7.02,8.99,7.61,8.86,8.31,3.56,3.87,4.5,5.16,5.02,5.06,5.06,5.88,6.4,5.8,6.48,6.96,6.53,7.17,7.08,6.4,6.73,6.56,6.14,6.04,8.01,6.63,7.88,7.33,Asia,NA,Asia,>= 6,9
3451,BGD,Bangladesh,Sylhet,Sylhet,3903758,5,15,27.68,27.15,32.29,33.04,33.43,36.62,37.4,38.69,42.61,38.86,41.17,45.7,41.53,44.83,47.99,39.63,43.95,42.78,44.17,39.89,48.1,42.51,46,48.52,2.22,2.17,2.67,2.75,2.79,3.1,3.18,3.3,3.69,3.32,3.54,3.99,3.58,3.9,4.21,3.39,3.82,3.7,3.84,3.42,4.22,3.68,4.02,4.27,1.24,1.19,1.69,1.77,1.81,2.12,2.2,2.32,2.71,2.34,2.56,3.01,2.6,2.92,3.23,2.41,2.84,2.72,2.86,2.44,3.24,2.7,3.04,3.29,Asia,NA,Asia,4 to < 5,7
3432,BGD,Bangladesh,Rajshahi,Bogra,3873077,5,15,44.98,39.91,47.99,49.43,52.92,52.84,51.41,57.29,61.13,57.51,63.96,66.24,62.91,70.82,71.71,64.71,64.44,61.34,59.08,64,71.74,62.63,74.9,69.13,3.92,3.42,4.21,4.35,4.7,4.69,4.55,5.12,5.5,5.15,5.78,6,5.68,6.45,6.54,5.85,5.83,5.52,5.3,5.78,6.54,5.65,6.85,6.28,2.94,2.44,3.23,3.37,3.72,3.71,3.57,4.14,4.52,4.17,4.8,5.02,4.7,5.47,5.56,4.87,4.85,4.54,4.32,4.8,5.56,4.67,5.87,5.3,Asia,NA,Asia,>= 6,9
3403,BGD,Bangladesh,Chittagong,Noakhali,3540247,5,15,58.04,60.93,62.83,66.31,64.24,64.75,66.23,73.15,77.19,74.37,77.15,84.56,78.09,77.47,78.47,73.82,79.46,76.29,79.17,73.08,89.13,80.53,88.24,88.74,5.2,5.48,5.67,6.01,5.81,5.86,6,6.68,7.07,6.8,7.07,7.8,7.16,7.1,7.2,6.74,7.3,6.99,7.27,6.67,8.25,7.4,8.16,8.21,4.22,4.5,4.69,5.03,4.83,4.88,5.02,5.7,6.09,5.82,6.09,6.82,6.18,6.12,6.22,5.76,6.32,6.01,6.29,5.69,7.27,6.42,7.18,7.23,Asia,NA,Asia,>= 6,9
3439,BGD,Bangladesh,Rajshahi,Sirajganj,3519019,5,15,50.03,45.91,54.95,57.13,58.01,56.85,55.54,62.09,67.55,64.81,69.76,74.08,71.9,76.96,76.73,72.09,70.92,64.42,63.47,68.56,79.05,68.62,81.02,76.01,4.41,4.01,4.9,5.11,5.2,5.08,4.95,5.6,6.13,5.86,6.35,6.77,6.56,7.05,7.03,6.57,6.46,5.82,5.73,6.23,7.26,6.23,7.45,6.96,3.43,3.03,3.92,4.13,4.22,4.1,3.97,4.62,5.15,4.88,5.37,5.79,5.58,6.07,6.05,5.59,5.48,4.84,4.75,5.25,6.28,5.25,6.47,5.98,Asia,NA,Asia,>= 6,9
