name_1_country,tot_pop,avg_pm2.5_pop_weighted,gain_in_le,lyl_bucket,order_lyl_bucket
Lagos (Nigeria),21062761,19.350136405193982,1.4063133677090103,1 to < 2,4
Kano (Nigeria),13769309,23.67719201522749,1.8303648174922942,1 to < 2,4
Kinshasa (Democratic Republic of the Congo),11939493,38.44,3.27712,3 to < 4,6
Luanda (Angola),9037792,16.026389015148833,1.0805861234845857,1 to < 2,4
Nord-Kivu (Democratic Republic of the Congo),8862325,32.79683329825977,2.724089663229458,2 to < 3,5
Kaduna (Nigeria),8775937,31.162856682995788,2.5639599549335874,2 to < 3,5
Katsina (Nigeria),8431989,20.42354058573843,1.5115069774023662,1 to < 2,4
Oyo (Nigeria),8293186,19.833677056079534,1.4537003514957945,1 to < 2,4
Rivers (Nigeria),7614262,28.01535897503921,2.2555051795538428,2 to < 3,5
Bauchi (Nigeria),7440591,22.211539403254392,1.6867308615189305,1 to < 2,4
