Prefecture,Population (Millions),PM2.5 concentration 2021 (µg/m³),Life Expectancy Gains from reducing PM2.5 from 2014 concentrations to 2021 concentrations,Life Expectancy Gains from reducing PM2.5 concentrations from 2021 Concentration to the WHO Guideline of 5 µg/m³,Life Expectancy Gains from reducing PM2.5 concentrations from 2021 Concentration to the National Standard of 35 µg/m³
Chongqing,30.2,30.7,1.9,2.5,0
Shanghai,24.2,25.5,2,2,0
Beijing,20.6,37.2,4.2,3.2,0.2
Chengdu,14,38.2,1.9,3.3,0.3
Tianjin,13.6,40.5,3.8,3.5,0.5
Guangzhou,13.2,24.5,1.8,1.9,0
Baoding,11.7,41.3,5.9,3.6,0.6
Harbin,11.2,35.2,2.5,3,0
Suzhou,10.9,28,2.8,2.3,0
Nanyang,10.8,34.8,2.2,2.9,0
Shijiazhuang,10.7,49,5.5,4.3,1.4
Shenzhen,10.7,20.1,1.3,1.5,0
Linyi,10.5,39.2,2.1,3.4,0.4
Wuhan,10.2,36.9,3.6,3.1,0.2
Handan,9.6,42.8,4.1,3.7,0.8
Weifang,9.6,37.9,1.8,3.2,0.3
Zhoukou,9.4,40.2,2,3.5,0.5
Wenzhou,9.4,25,1.5,2,0
Hangzhou,9.3,27.6,3,2.2,0
Xi'an,9.1,39,1.8,3.3,0.4
Zhengzhou,9,39.6,3.3,3.4,0.4
Xuzhou,9,44.3,1.8,3.9,0.9
Qingdao,9,30.5,1.8,2.5,0
Ganzhou,8.8,22.7,1.6,1.7,0
Heze,8.7,44.5,2,3.9,0.9
