years,region,pop_weighted_avg_pm2.5
1998,National Average,10.982969179870404
1999,National Average,9.383717679055865
2000,National Average,12.395633561773733
2001,National Average,16.27725600998576
2002,National Average,15.000177927942856
2003,National Average,16.906984399466168
2004,National Average,15.18225670370748
2005,National Average,15.587645035551692
2006,National Average,15.18952895476679
2007,National Average,15.334413461379524
2008,National Average,14.825616183395828
2009,National Average,15.343989522745808
2010,National Average,16.74974613338478
2011,National Average,16.15650984549829
2012,National Average,16.249977296035233
2013,National Average,15.968714522073048
2014,National Average,16.55440280142199
2015,National Average,15.813092554535311
2016,National Average,16.318429790331145
2017,National Average,15.566630781656489
2018,National Average,14.739657808735313
2019,National Average,15.662600026886459
2020,National Average,15.602910091349276
2021,National Average,13.61523568631497
