name_1,min_lyl,max_lyl,avg_pm2.5_2021,avg_lyl,range_lyl,total_population
Amazonas,1.6,2,24.469921896624346,1.9,0.3999999999999999,83095
Antioquia,0.6,1.4,16.051691556649228,1.1,0.7999999999999999,6769457
Arauca,0.8,1.1,15.186025161422569,1,0.30000000000000004,273196
Atlántico,0.2,0.6,8.981559063597128,0.4,0.39999999999999997,2568638
Bogotá D.C.,1,1,15.14,1,0,8287730
Bolívar,0.3,1.3,11.408721017662756,0.6,1,2178482
Boyacá,0.8,1.2,15.355275718372393,1,0.3999999999999999,1272077
Caldas,0.6,1,13.577063569592957,0.8,0.4,986824
Caquetá,1,1.6,16.749900177108348,1.2,0.6000000000000001,501388
Casanare,1,1.2,15.682106849415243,1,0.19999999999999996,382894
Cauca,0.4,0.9,12.131254549521728,0.7,0.5,1421578
Cesar,0.3,1.1,11.877524808327706,0.7,0.8,1079577
Chocó,0.5,0.9,12.171613785217568,0.7,0.4,514232
Cundinamarca,0.7,1.2,15.275276323413312,1,0.5,2856345
Córdoba,0.6,1.1,13.699095429551559,0.9,0.5000000000000001,1813170
Guainía,1.4,1.8,20.29839203744944,1.5,0.40000000000000013,44006
Guaviare,1.6,1.7,21.81298422729364,1.6,0.09999999999999987,115199
Huila,0.7,0.9,13.107556876586786,0.8,0.20000000000000007,1211175
La Guajira,0,0.6,6.150229243849758,0.1,0.6,1055121
Magdalena,0.2,0.9,9.446062054543827,0.4,0.7,1217993
Meta,0.7,1.6,15.270104942130105,1,0.9000000000000001,1044671
Nariño,0.3,0.7,10.988660572316839,0.6,0.39999999999999997,1770383
Norte de Santander,0.8,1.2,14.987129571274417,1,0.3999999999999999,1394715
Putumayo,0.7,2,15.002351939687996,1,1.3,367688
Quindío,0.6,0.8,11.149218635637405,0.6,0.20000000000000007,575199
Risaralda,0.6,0.9,11.7867779328799,0.7,0.30000000000000004,965672
San Andrés y Providencia,0,0,3.3716834088679155,0,0,42806
Santander,0.7,1.4,15.458485513837617,1,0.7,2087751
Sucre,0.6,1.3,13.313733631301107,0.8,0.7000000000000001,883317
Tolima,0.7,1,13.31953851820632,0.8,0.30000000000000004,1411735
Valle del Cauca,0.5,0.9,12.445960258070336,0.7,0.4,4789702
Vaupés,1.6,1.8,21.478239045418185,1.6,0.19999999999999996,45004
Vichada,0.6,1.1,14.556689172569856,0.9,0.5000000000000001,81312
