objectid_level,iso_alpha3,country,name_1,population,whostandard,natstandard,pm2021,pm2021_reduced_to,llpp_who_2021,llpp_nat_2021,llpp_pol_red_2021,total_lyl_who_2021_millions,total_lyl_nat_2021_millions,total_lyl_pol_red_2021_millions,lyl_bucket,order_lyl_bucket
1,IND,India,Uttar Pradesh,224758635,5,40,94.4,85,8.8,5.3,0.9,1977.9,1191.2,202.3,>= 6,9
1,IND,India,Maharashtra,122684430,5,40,41.9,37.699999999999996,3.6,0.2,0.4,441.7,24.5,49.1,3 to < 4,6
1,IND,India,Bihar,120386654,5,40,86.2,77.60000000000001,8,4.5,0.8,963.1,541.7,96.3,>= 6,9
1,IND,India,West Bengal,98581276,5,40,64.8,58.3,5.9,2.4,0.6,581.6,236.6,59.1,5 to < 6,8
1,IND,India,Madhya Pradesh,81553936,5,40,52.3,47.099999999999994,4.6,1.2,0.5,375.1,97.9,40.8,4 to < 5,7
1,IND,India,Tamil Nadu,78817145,5,40,28.2,25.4,2.3,0,0.3,181.3,0,23.6,2 to < 3,5
1,IND,India,Rajasthan,77446682,5,40,54.7,49.2,4.9,1.4,0.5,379.5,108.4,38.7,4 to < 5,7
1,IND,India,Gujarat,67476206,5,40,37.1,33.4,3.1,0,0.4,209.2,0,27,3 to < 4,6
1,IND,India,Karnataka,66639345,5,40,29,26.1,2.4,0,0.3,159.9,0,20,2 to < 3,5
1,IND,India,Andhra Pradesh,52174822,5,40,31.6,28.400000000000002,2.6,0,0.3,135.7,0,15.7,2 to < 3,5
